,专业技术服务业固定资产投资(不含农户)本年资金来源,专用设备制造业固定资产投资(不含农户)本年资金来源,中国共产党机关固定资产投资(不含农户)本年资金来源,交通运输、仓储和邮政业固定资产投资(不含农户)本年资金来源,交通运输设备制造业固定资产投资(不含农户)本年资金来源,人民政协和民主党派固定资产投资(不含农户)本年资金来源,仓储业固定资产投资(不含农户)本年资金来源,仪器仪表文化办公用机械制造业固定资产投资(不含农户)本年资金来源,住宿业固定资产投资(不含农户)本年资金来源,住宿和餐饮业固定资产投资(不含农户)本年资金来源,体育固定资产投资(不含农户)本年资金来源,保险业固定资产投资(不含农户)本年资金来源,信息传输、计算机服务和软件业固定资产投资(不含农户)本年资金来源,公共管理和社会组织固定资产投资(不含农户)本年资金来源,公共设施管理业固定资产投资(不含农户)本年资金来源,其他建筑业固定资产投资(不含农户)本年资金来源,其他服务业固定资产投资(不含农户)本年资金来源,其他采矿业固定资产投资(不含农户)本年资金来源,其他金融活动固定资产投资(不含农户)本年资金来源,农、林、牧、渔业固定资产投资(不含农户)本年资金来源,农、林、牧、渔服务业固定资产投资(不含农户)本年资金来源,农业固定资产投资(不含农户)本年资金来源,农副食品加工业固定资产投资(不含农户)本年资金来源,制造业固定资产投资(不含农户)本年资金来源,化学原料及化学制品制造业固定资产投资(不含农户)本年资金来源,化学纤维制造业固定资产投资(不含农户)本年资金来源,医药制造业固定资产投资(不含农户)本年资金来源,卫生、社会保障和社会福利业固定资产投资(不含农户)本年资金来源,卫生固定资产投资(不含农户)本年资金来源,印刷业和记录媒介的复制固定资产投资(不含农户)本年资金来源,商务服务业固定资产投资(不含农户)本年资金来源,固定资产投资(不含农户)本年资金来源,国家机构固定资产投资(不含农户)本年资金来源,国际组织固定资产投资(不含农户)本年资金来源,地质勘查业固定资产投资(不含农户)本年资金来源,城市公共交通业固定资产投资(不含农户)本年资金来源,基层群众自治组织固定资产投资(不含农户)本年资金来源,塑料制品业固定资产投资(不含农户)本年资金来源,娱乐业固定资产投资(不含农户)本年资金来源,家具制造业固定资产投资(不含农户)本年资金来源,居民服务业固定资产投资(不含农户)本年资金来源,居民服务和其他服务业固定资产投资(不含农户)本年资金来源,工艺品及其他制造业固定资产投资(不含农户)本年资金来源,广播、电视、电影和音像业固定资产投资(不含农户)本年资金来源,废弃资源和废旧材料回收加工业固定资产投资(不含农户)本年资金来源,建筑业固定资产投资(不含农户)本年资金来源,建筑安装业固定资产投资(不含农户)本年资金来源,建筑装饰业固定资产投资(不含农户)本年资金来源,房地产业固定资产投资(不含农户)本年资金来源,房屋和土木工程建筑业固定资产投资(不含农户)本年资金来源,批发业固定资产投资(不含农户)本年资金来源,批发和零售业固定资产投资(不含农户)本年资金来源,教育固定资产投资(不含农户)本年资金来源,文化、体育和娱乐业固定资产投资(不含农户)本年资金来源,文化艺术业固定资产投资(不含农户)本年资金来源,文教体育用品制造业固定资产投资(不含农户)本年资金来源,新闻出版业固定资产投资(不含农户)本年资金来源,有色金属冶炼及压延加工业固定资产投资(不含农户)本年资金来源,有色金属矿采选业固定资产投资(不含农户)本年资金来源,木材加工及木竹藤棕草制品业固定资产投资(不含农户)本年资金来源,林业固定资产投资(不含农户)本年资金来源,橡胶制品业固定资产投资(不含农户)本年资金来源,水上运输业固定资产投资(不含农户)本年资金来源,水利、环境和公共设施管理业固定资产投资(不含农户)本年资金来源,水利管理业固定资产投资(不含农户)本年资金来源,水的生产和供应业固定资产投资(不含农户)本年资金来源,渔业固定资产投资(不含农户)本年资金来源,烟草制品业固定资产投资(不含农户)本年资金来源,煤炭开采和洗选业固定资产投资(不含农户)本年资金来源,燃气生产和供应业固定资产投资(不含农户)本年资金来源,环境管理业固定资产投资(不含农户)本年资金来源,电信和其他信息传输服务业固定资产投资(不含农户)本年资金来源,电力、热力的生产和供应业固定资产投资(不含农户)本年资金来源,电力燃气水的生产供应业固定资产投资(不含农户)本年资金来源,电气机械及器材制造业固定资产投资(不含农户)本年资金来源,畜牧业固定资产投资(不含农户)本年资金来源,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)本年资金来源,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)本年资金来源,石油和天然气开采业固定资产投资(不含农户)本年资金来源,研究与试验发展固定资产投资(不含农户)本年资金来源,社会保障业固定资产投资(不含农户)本年资金来源,社会福利业固定资产投资(不含农户)本年资金来源,科学研究、技术服务和地质勘查业固定资产投资(不含农户)本年资金来源,科技交流和推广服务业固定资产投资(不含农户)本年资金来源,租赁业固定资产投资(不含农户)本年资金来源,租赁和商务服务业固定资产投资(不含农户)本年资金来源,管道运输业固定资产投资(不含农户)本年资金来源,纺织业固定资产投资(不含农户)本年资金来源,纺织服装、鞋、帽制造业固定资产投资(不含农户)本年资金来源,群众团体、社会团体和宗教组织固定资产投资(不含农户)本年资金来源,航空运输业固定资产投资(不含农户)本年资金来源,装卸搬运和其他运输服务业固定资产投资(不含农户)本年资金来源,计算机服务业固定资产投资(不含农户)本年资金来源,证券业固定资产投资(不含农户)本年资金来源,软件业固定资产投资(不含农户)本年资金来源,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)本年资金来源,通用设备制造业固定资产投资(不含农户)本年资金来源,造纸及纸制品业固定资产投资(不含农户)本年资金来源,道路运输业固定资产投资(不含农户)本年资金来源,邮政业固定资产投资(不含农户)本年资金来源,采矿业固定资产投资(不含农户)本年资金来源,金属制品业固定资产投资(不含农户)本年资金来源,金融业固定资产投资(不含农户)本年资金来源,铁路运输业固定资产投资(不含农户)本年资金来源,银行业固定资产投资(不含农户)本年资金来源,零售业固定资产投资(不含农户)本年资金来源,非金属矿物制品业固定资产投资(不含农户)本年资金来源,非金属矿采选业固定资产投资(不含农户)本年资金来源,食品制造业固定资产投资(不含农户)本年资金来源,餐饮业固定资产投资(不含农户)本年资金来源,饮料制造业固定资产投资(不含农户)本年资金来源,黑色金属冶炼及压延加工业固定资产投资(不含农户)本年资金来源,黑色金属矿采选业固定资产投资(不含农户)本年资金来源
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,89.4385,352.5258,27.9863,5381.1996,752.4249,5.7348,117.3122,109.9679,227.6988,330.739,103.3758,5.8434,1599.3014,1797.5666,3098.7415,18.4368,14.6056,1.8437,7.9469,528.0712,124.0602,140.5353,411.4735,11094.959,1159.9762,130.0219,531.2656,350.0789,325.5977,127.8051,314.974,48861.38,1610.3567,0.2949,29.3227,438.1625,122.3634,265.7728,137.5051,82.0945,52.1018,66.7074,202.2181,83.3666,6.275,528.4231,17.1005,10.5194,14153.1933,482.3664,331.8241,820.2836,1486.919,471.8754,122.6823,48.4193,24.9456,467.3322,73.0325,117.5899,144.0038,136.0123,352.9136,4045.6046,695.1517,321.5892,20.4702,85.0015,460.8287,154.3655,251.7114,1556.2521,3455.6313,3931.586,322.9238,99.0017,95.878,332.2983,946.208,132.861,6.0522,18.429,285.8975,34.2753,2.7459,317.7199,141.7088,633.7917,199.4801,31.1254,222.6536,41.5539,10.6475,1.7021,32.4018,795.7657,381.4567,337.1347,3335.5927,29.8122,1576.4916,285.5792,94.4661,701.4901,78.9737,488.4595,809.8372,45.764,302.7139,103.0402,210.6907,1401.2325,48.8147
2004年,71.59,486.67,25.74,6759.33,1068.4,2.15,196.38,135.95,304.47,453.33,116.69,5.07,1644.86,2123.84,3805.29,38.11,41.28,2.89,7.21,644.41,158.79,170.46,555.09,15039.14,1591.52,187.44,606.3,450.44,424.14,170.18,356.16,63116.19,1875.01,0.3,28.77,410.46,187.73,332.99,167.2,108.76,68.31,109.59,216.03,80.05,12.95,530.56,19.54,8.37,1389.62,464.54,454.78,1158.29,1755.89,530.34,147.54,56.02,18.86,572.82,118.3,185.16,135.98,199.4,529.82,4764.42,704.18,434.42,39.95,99.6,723.74,211.11,254.95,1593.53,4998.1,5643.63,537.44,139.24,120.39,650.56,1121.19,172.01,3.92,22.38,318.81,46.45,6.12,17531.04,106.52,781.54,266.89,33.21,281.43,55.44,14.29,1.27,37.04,1103.77,593.31,441.39,4322.28,27.54,2173.92,440.49,94.43,829.45,80.88,703.5,1113.53,74.53,374.44,148.86,254.43,1775.67,133.27
2005年,113.4071,794.7916,25.3564,8427.8894,1645.307,6.1169,267.2213,172.2821,468.5165,691.33,171.7087,7.8783,1559.3133,2406.0933,4864.5531,37.0327,39.5363,4.0939,10.2199,840.6475,224.3089,217.6378,911.5978,20956.6882,2128.9233,187.0463,708.9859,594.374,553.3589,234.4162,496.9223,80912.3272,2034.3207,0.0,63.776,511.3301,294.5808,492.4853,209.623,187.4922,102.6896,142.2259,323.1063,91.6698,19.2067,669.5329,26.9475,11.0979,22617.8797,594.4548,696.5967,1568.2016,2013.0628,708.9346,212.647,89.4658,23.2861,793.7574,196.6596,287.0223,177.7162,201.2151,770.3286,6043.0587,864.3402,513.7581,50.3969,96.6738,1234.6707,274.9566,314.1654,1487.1088,6437.2678,7225.9825,807.6513,170.5877,209.0032,834.2621,1537.1812,180.74,11.2789,29.7362,424.7821,66.859,14.7377,511.66,81.3279,1073.0619,402.4291,45.7185,345.4807,46.8244,19.8948,10.2438,52.3097,1293.316,1065.3259,565.8502,5099.676,17.2841,3404.4672,760.3364,106.2035,1288.4163,77.8615,871.6049,1451.7761,144.3441,552.0183,222.8135,360.0272,2307.8554,287.5177
2006年,99.4927,1115.123,24.6424,10875.6099,2035.8883,7.7607,386.8863,237.7022,627.8247,930.2796,197.8787,8.7599,1772.5106,2662.1464,5973.2901,73.7798,64.7756,6.6552,9.0997,1117.7568,329.9215,273.0827,1224.2245,27210.054,2648.4764,222.7791,796.5128,712.2927,654.7801,304.725,690.2721,101759.1319,2237.3721,0.135,61.2119,799.1883,347.6951,747.0692,270.4579,274.0306,119.7867,184.5623,453.6292,118.8709,40.0248,798.8215,38.113,16.7749,29389.4914,670.1538,860.5796,1948.1025,2138.4769,845.387,228.7271,122.036,29.4524,999.6402,306.4428,411.5517,240.5541,368.8182,1036.2883,7356.8059,928.7636,662.9697,46.7827,119.5048,1525.8187,318.307,454.7522,1652.5212,7290.334,8271.6107,1152.0776,227.4158,297.9675,959.6107,1838.0787,218.4953,18.1105,39.4021,455.602,76.4021,25.2415,715.5136,70.5173,1322.2215,568.2852,44.6761,499.9154,56.9038,36.277,9.7439,83.7124,1815.5502,1639.9341,658.2028,6060.0076,20.3133,4255.7725,1129.8006,118.2006,1945.5896,90.5971,1087.5229,1920.7004,208.1879,781.3476,302.4549,570.6568,2271.963,370.5892
2007年,150.5376,1778.8446,22.5989,12340.638,2813.3344,11.9272,639.0762,296.2284,959.9281,1367.2626,279.4326,10.0762,1846.1812,2753.3806,7515.0041,81.8023,86.0915,10.8883,14.0274,1461.2714,454.6556,324.964,1669.8002,36755.8129,3596.6844,340.3983,885.8491,803.7466,728.5456,378.8955,874.4036,130743.4519,2221.4226,0.0,81.8439,1014.9981,429.2149,881.638,344.9868,393.6626,153.6979,239.7894,588.1668,141.6511,92.032,986.0257,48.8288,24.913,40899.3063,830.4816,1195.0361,2553.0481,2236.9023,1197.1816,392.6164,177.3441,38.4947,1378.9378,499.4717,651.8036,292.0318,450.2021,1099.8477,9208.6538,1080.4067,847.6521,69.45,128.1459,1871.5652,356.2862,613.243,1730.8612,7940.3962,9144.3345,1692.8993,320.17,360.97,1404.2055,2223.7368,229.6827,11.8783,63.3227,552.2375,90.1733,34.048,908.4516,63.9436,1559.8768,771.5902,68.217,552.3357,95.0306,32.3893,12.2621,82.9307,2251.0898,2415.3279,851.5999,6402.4285,15.2044,5335.0555,1613.9935,154.1723,2457.7732,117.8066,1358.012,2884.8026,297.1994,971.1809,407.3345,735.6344,2740.6743,432.1941
2008年,224.529,2283.995,27.0606,15815.5039,3882.3716,8.02,927.9975,431.9294,1236.0534,1793.4467,261.3691,14.3777,2148.4545,3269.8804,9673.3463,99.8681,109.1131,13.3249,21.4611,2228.8853,633.2839,452.5269,2091.3848,47159.3551,4798.3921,298.6154,1108.2948,1095.2518,954.9158,449.0478,1214.4451,158579.6802,2459.724,0.0,88.0067,1401.104,692.2283,1122.7118,503.2098,516.6466,201.678,310.7911,683.1303,148.836,138.2574,1252.9227,50.123,38.2253,44430.5729,1064.7063,1578.3896,3285.0773,2402.9865,1502.0073,522.8925,198.5399,65.6999,1938.0132,655.0362,809.3369,377.8016,505.8585,1248.924,11853.3851,1481.0532,1053.2237,102.0033,146.0839,2486.035,436.2806,698.9856,1938.8435,9328.6727,10818.177,2453.9012,663.2696,432.9929,1835.1944,2693.052,305.8504,20.8133,119.5227,743.6516,125.2655,47.3717,1261.8168,140.7267,1594.1971,932.9088,82.8475,576.9603,115.9185,51.7209,25.1733,157.8901,2513.9856,3296.5161,1060.9684,7125.9602,19.9532,6960.7658,2234.6037,246.7484,4257.9595,185.7363,1706.6877,4220.4017,428.3421,1163.4728,557.3933,905.658,3111.945,684.9756
2009年,314.3427,3185.3255,28.6581,22997.4887,5254.0099,7.0414,1507.0271,559.9896,1555.7131,2419.9671,387.3444,17.8772,2504.0902,4080.9584,14288.733,130.6463,208.197,22.4155,38.4,3414.8465,948.4079,763.0418,2888.3906,60989.1685,6192.5582,307.4078,1559.6902,1803.3896,1549.8366,585.3182,1895.6858,218786.6689,3177.8194,0.0,183.3407,2197.918,754.0638,1446.8192,801.9302,655.1889,321.562,529.759,895.3203,164.8807,247.8874,1607.0126,70.2248,58.9342,64959.0459,1347.2073,2167.4183,4589.0625,3344.0562,2133.8296,723.8258,221.3125,55.8485,2317.8742,845.4512,1038.6286,571.8461,679.228,1649.962,17869.6299,2308.5686,1837.1378,133.6103,222.4682,3149.6226,689.4891,1272.3283,2218.7763,11152.3432,13678.9701,3680.6284,997.9404,531.7812,1923.0544,2861.3489,398.372,82.4127,171.1403,1131.4051,235.3497,113.7222,2009.408,96.4023,1834.8433,1102.4284,113.3757,568.1115,233.6979,66.8601,38.6193,218.4538,2834.3666,4618.2216,1283.2886,10196.0078,35.905,8347.0282,2909.4243,377.5528,6512.4571,282.6563,2421.6442,6214.0486,623.5006,1530.029,864.254,1129.8537,3139.7831,844.6894
