,专用设备制造业国有控股工业亏损企业亏损总额,交通运输设备制造业国有控股工业亏损企业亏损总额,仪器仪表及文化办公用机械制造业国有控股工业亏损企业亏损总额,其他矿采选业国有控股工业亏损企业亏损总额,其它制造业国有控股工业亏损企业亏损总额,化学原料及化学制品制造业国有控股工业亏损企业亏损总额,化学纤维制造业国有控股工业亏损企业亏损总额,医药制造业国有控股工业亏损企业亏损总额,印刷业、记录媒介的复制国有控股工业亏损企业亏损总额,国有控股工业亏损企业亏损总额,塑料制品业国有控股工业亏损企业亏损总额,家具制造业国有控股工业亏损企业亏损总额,文教体育用品制造业国有控股工业亏损企业亏损总额,普通机械制造业国有控股工业亏损企业亏损总额,有色金属冶炼及压延加工业国有控股工业亏损企业亏损总额,有色金属矿采选业国有控股工业亏损企业亏损总额,服装及其他纤维制品制造业国有控股工业亏损企业亏损总额,木材加工及竹、藤、棕、草制品业国有控股工业亏损企业亏损总额,木材及竹材采运业国有控股工业亏损企业亏损总额,橡胶制品业国有控股工业亏损企业亏损总额,烟草加工业国有控股工业亏损企业亏损总额,煤气生产和供应业国有控股工业亏损企业亏损总额,煤炭采选业国有控股工业亏损企业亏损总额,电力、蒸汽、热水的生产和供应业国有控股工业亏损企业亏损总额,电子及通信设备制造业国有控股工业亏损企业亏损总额,电气机械及器材制造业国有控股工业亏损企业亏损总额,皮革、毛皮、羽绒及其制品业国有控股工业亏损企业亏损总额,石油加工及炼焦业国有控股工业亏损企业亏损总额,石油和天然气开采业国有控股工业亏损企业亏损总额,纺织业国有控股工业亏损企业亏损总额,自来水的生产和供应业国有控股工业亏损企业亏损总额,造纸及纸制品业国有控股工业亏损企业亏损总额,金属制品业国有控股工业亏损企业亏损总额,非金属矿物制造业国有控股工业亏损企业亏损总额,非金属矿采选业国有控股工业亏损企业亏损总额,食品制造业国有控股工业亏损企业亏损总额,食品加工业国有控股工业亏损企业亏损总额,饮料制造业国有控股工业亏损企业亏损总额,黑色金属冶炼及压延加工业国有控股工业亏损企业亏损总额,黑色金属矿采选业国有控股工业亏损企业亏损总额
2000年,33.42733,74.09803,7.67306,0.02991,1.81828,54.22461,6.38444,7.74931,6.44228,704.3426,5.05421,0.63796,1.11548,36.70236,13.7095,3.61289,2.91271,5.5788,3.54712,11.25548,6.42775,8.83892,30.34454,75.97064,21.689,21.739,3.09438,54.87869,6.61814,23.86145,10.07266,9.38306,11.74821,37.05085,5.17266,8.52946,31.5425,10.70409,35.05734,1.53127
2001年,35.70944,62.71556,6.91868,,1.46291,87.78231,12.43807,9.75856,6.56975,752.15477,6.0151,0.9019,0.6401,40.72325,13.48253,4.13392,4.3951,3.45298,2.69407,6.53103,16.4385,7.40265,15.43113,85.53867,38.57414,26.84475,4.02158,54.83063,4.12543,37.87969,11.51781,14.434,9.8456,37.42641,4.07871,8.40283,20.79234,14.2711,22.14951,0.89611
2002年,30.65942,71.08405,6.42988,0.0046,1.00201,64.06474,10.55437,12.04867,5.2943,668.52391,6.20598,0.68855,1.13263,32.79616,12.11828,7.16474,3.07862,4.02442,2.09409,7.6209,5.29365,9.2608,9.57347,89.76299,32.09594,23.46664,2.69403,39.9727,1.081,29.86753,14.97454,14.2402,9.93811,37.43639,5.14002,7.18347,20.13773,13.69352,16.61872,1.47544
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
