,专用设备制造业国有控股工业企业国家资本金,交通运输设备制造业国有控股工业企业国家资本金,仪器仪表及文化办公用机械制造业国有控股工业企业国家资本金,其他矿采选业国有控股工业企业国家资本金,其它制造业国有控股工业企业国家资本金,化学原料及化学制品制造业国有控股工业企业国家资本金,化学纤维制造业国有控股工业企业国家资本金,医药制造业国有控股工业企业国家资本金,印刷业、记录媒介的复制国有控股工业企业国家资本金,国有控股工业企业国家资本金,塑料制品业国有控股工业企业国家资本金,家具制造业国有控股工业企业国家资本金,文教体育用品制造业国有控股工业企业国家资本金,普通机械制造业国有控股工业企业国家资本金,有色金属冶炼及压延加工业国有控股工业企业国家资本金,有色金属矿采选业国有控股工业企业国家资本金,服装及其他纤维制品制造业国有控股工业企业国家资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业国家资本金,木材及竹材采运业国有控股工业企业国家资本金,橡胶制品业国有控股工业企业国家资本金,烟草加工业国有控股工业企业国家资本金,煤气生产和供应业国有控股工业企业国家资本金,煤炭采选业国有控股工业企业国家资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业国家资本金,电子及通信设备制造业国有控股工业企业国家资本金,电气机械及器材制造业国有控股工业企业国家资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业国家资本金,石油加工及炼焦业国有控股工业企业国家资本金,石油和天然气开采业国有控股工业企业国家资本金,纺织业国有控股工业企业国家资本金,自来水的生产和供应业国有控股工业企业国家资本金,造纸及纸制品业国有控股工业企业国家资本金,金属制品业国有控股工业企业国家资本金,非金属矿物制造业国有控股工业企业国家资本金,非金属矿采选业国有控股工业企业国家资本金,食品制造业国有控股工业企业国家资本金,食品加工业国有控股工业企业国家资本金,饮料制造业国有控股工业企业国家资本金,黑色金属冶炼及压延加工业国有控股工业企业国家资本金,黑色金属矿采选业国有控股工业企业国家资本金
2000年,283.75334,699.04218,58.06485,0.19172,12.23752,851.54807,173.22813,175.04927,108.67443,13419.29279,60.997,10.04429,9.81613,358.92856,359.76519,83.30393,33.90423,39.53423,96.38381,76.04386,312.96819,248.74835,887.31481,2068.521,286.88268,204.9298,16.79998,275.40225,1468.06169,370.57028,475.19087,158.07787,90.37301,459.92431,123.13911,96.66866,236.211,202.16589,1798.60649,105.66057
2001年,299.18133,669.04211,59.85481,0.15449,11.66239,806.99014,108.30007,184.55235,117.63384,13696.98378,75.53501,8.69321,9.27687,342.88288,353.38239,75.61548,30.394,42.43932,86.70508,75.09328,320.479,245.12901,981.0868,2190.6427,293.70513,213.6961,16.22102,366.03377,1543.45355,350.51703,469.27239,183.9031,88.69197,434.31733,152.03945,80.95251,207.5576,199.49726,1867.74776,104.54781
2002年,314.44837,791.47159,62.42618,0.21349,9.29239,748.70791,119.45608,226.41168,103.38764,12967.2996,73.73336,7.18294,8.77101,343.04035,359.57649,75.18258,36.32719,38.63752,82.15973,62.18083,318.89783,248.50494,1250.8641,2089.65982,285.6473,186.65175,11.53642,447.32147,915.99604,332.98266,528.60304,203.32583,88.59768,433.84531,134.61893,79.83988,179.47729,188.13994,1436.55583,103.30657
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
