,专用设备制造业国有控股工业企业所有者权益合计,交通运输设备制造业国有控股工业企业所有者权益合计,仪器仪表及文化办公用机械制造业国有控股工业企业所有者权益合计,其他矿采选业国有控股工业企业所有者权益合计,其它制造业国有控股工业企业所有者权益合计,化学原料及化学制品制造业国有控股工业企业所有者权益合计,化学纤维制造业国有控股工业企业所有者权益合计,医药制造业国有控股工业企业所有者权益合计,印刷业、记录媒介的复制国有控股工业企业所有者权益合计,国有控股工业企业所有者权益合计,塑料制品业国有控股工业企业所有者权益合计,家具制造业国有控股工业企业所有者权益合计,文教体育用品制造业国有控股工业企业所有者权益合计,普通机械制造业国有控股工业企业所有者权益合计,有色金属冶炼及压延加工业国有控股工业企业所有者权益合计,有色金属矿采选业国有控股工业企业所有者权益合计,服装及其他纤维制品制造业国有控股工业企业所有者权益合计,木材加工及竹、藤、棕、草制品业国有控股工业企业所有者权益合计,木材及竹材采运业国有控股工业企业所有者权益合计,橡胶制品业国有控股工业企业所有者权益合计,烟草加工业国有控股工业企业所有者权益合计,煤气生产和供应业国有控股工业企业所有者权益合计,煤炭采选业国有控股工业企业所有者权益合计,电力、蒸汽、热水的生产和供应业国有控股工业企业所有者权益合计,电子及通信设备制造业国有控股工业企业所有者权益合计,电气机械及器材制造业国有控股工业企业所有者权益合计,皮革、毛皮、羽绒及其制品业国有控股工业企业所有者权益合计,石油加工及炼焦业国有控股工业企业所有者权益合计,石油和天然气开采业国有控股工业企业所有者权益合计,纺织业国有控股工业企业所有者权益合计,自来水的生产和供应业国有控股工业企业所有者权益合计,造纸及纸制品业国有控股工业企业所有者权益合计,金属制品业国有控股工业企业所有者权益合计,非金属矿物制造业国有控股工业企业所有者权益合计,非金属矿采选业国有控股工业企业所有者权益合计,食品制造业国有控股工业企业所有者权益合计,食品加工业国有控股工业企业所有者权益合计,饮料制造业国有控股工业企业所有者权益合计,黑色金属冶炼及压延加工业国有控股工业企业所有者权益合计,黑色金属矿采选业国有控股工业企业所有者权益合计
2000年,647.53363,2318.64371,140.5065,0.40277,22.64995,2070.72984,547.38783,697.4347,218.66986,32714.81,163.89193,18.81615,37.3125,960.46037,706.71238,139.51604,78.42942,71.19849,128.71449,167.21723,1051.60065,315.15828,1251.25234,6589.45781,1526.78501,657.17668,15.2072,1387.69614,2413.6508,681.91514,854.12544,360.16174,166.75994,1001.02047,192.72611,228.95902,293.10975,646.1562,3603.81393,148.14212
2001年,607.37591,2612.80051,150.35127,0.24876,22.66691,2218.22185,377.5939,801.20691,234.8271,35741.27,196.10949,16.4349,37.51075,928.98103,801.88105,136.03427,61.16901,87.33152,133.19145,171.10504,1198.85626,327.02921,1441.25127,7268.11881,1687.28852,687.74929,16.33116,1553.71867,2575.03607,677.72202,897.51109,418.1095,186.33844,963.96737,264.56507,244.91877,338.35696,724.69893,4335.23167,150.58582
2002年,599.68424,2746.01331,157.85042,0.31033,18.33972,2413.48645,362.25208,854.63352,246.33297,36139.17,189.00382,16.28147,29.30103,953.20578,789.45874,125.74135,65.24467,78.71586,131.69677,168.49715,1355.02443,345.93589,1901.72627,7443.60052,1658.48996,637.25864,12.07456,1447.23098,2715.05535,603.97267,990.38076,417.07754,177.03764,942.46216,234.99101,261.35325,319.109,754.49816,3597.0446,163.83055
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
