,专用设备制造业国有控股工业企业产成品,交通运输设备制造业国有控股工业企业产成品,仪器仪表及文化办公用机械制造业国有控股工业企业产成品,其他矿采选业国有控股工业企业产成品,其它制造业国有控股工业企业产成品,化学原料及化学制品制造业国有控股工业企业产成品,化学纤维制造业国有控股工业企业产成品,医药制造业国有控股工业企业产成品,印刷业、记录媒介的复制国有控股工业企业产成品,国有控股工业企业产成品,塑料制品业国有控股工业企业产成品,家具制造业国有控股工业企业产成品,文教体育用品制造业国有控股工业企业产成品,普通机械制造业国有控股工业企业产成品,有色金属冶炼及压延加工业国有控股工业企业产成品,有色金属矿采选业国有控股工业企业产成品,服装及其他纤维制品制造业国有控股工业企业产成品,木材加工及竹、藤、棕、草制品业国有控股工业企业产成品,木材及竹材采运业国有控股工业企业产成品,橡胶制品业国有控股工业企业产成品,烟草加工业国有控股工业企业产成品,煤气生产和供应业国有控股工业企业产成品,煤炭采选业国有控股工业企业产成品,电力、蒸汽、热水的生产和供应业国有控股工业企业产成品,电子及通信设备制造业国有控股工业企业产成品,电气机械及器材制造业国有控股工业企业产成品,皮革、毛皮、羽绒及其制品业国有控股工业企业产成品,石油加工及炼焦业国有控股工业企业产成品,石油和天然气开采业国有控股工业企业产成品,纺织业国有控股工业企业产成品,自来水的生产和供应业国有控股工业企业产成品,造纸及纸制品业国有控股工业企业产成品,金属制品业国有控股工业企业产成品,非金属矿物制造业国有控股工业企业产成品,非金属矿采选业国有控股工业企业产成品,食品制造业国有控股工业企业产成品,食品加工业国有控股工业企业产成品,饮料制造业国有控股工业企业产成品,黑色金属冶炼及压延加工业国有控股工业企业产成品,黑色金属矿采选业国有控股工业企业产成品
2001年,170.47944,330.68599,37.94377,0.05231,9.63495,219.41082,32.63286,112.38882,20.93186,3132.85527,28.96293,4.08789,4.86685,224.7799,83.99344,16.54393,19.17678,16.38695,12.36523,51.74886,57.79789,4.7551,77.89548,10.55794,248.59469,157.15897,20.12406,123.80031,42.02805,255.7161,1.82986,60.5862,53.36147,153.68239,21.97527,35.71015,86.93502,89.39433,198.44076,7.08759
2002年,171.98238,379.67247,39.6078,0.04915,8.25235,214.81829,23.04385,110.76983,21.74622,3016.0457,26.37555,3.0566,4.65193,252.20086,72.6335,13.57174,18.29138,12.0909,12.11541,46.33378,59.96019,4.8994,75.72736,13.17777,230.4172,148.17676,10.69641,114.51627,35.2943,205.86206,2.31898,59.2504,51.99798,141.04095,21.21568,31.34438,74.51959,88.04318,184.91763,7.39542
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
