,专用设备制造业国有控股工业企业实收资本,交通运输设备制造业国有控股工业企业实收资本,仪器仪表及文化办公用机械制造业国有控股工业企业实收资本,其他矿采选业国有控股工业企业实收资本,其它制造业国有控股工业企业实收资本,化学原料及化学制品制造业国有控股工业企业实收资本,化学纤维制造业国有控股工业企业实收资本,医药制造业国有控股工业企业实收资本,印刷业、记录媒介的复制国有控股工业企业实收资本,国有控股工业企业实收资本,塑料制品业国有控股工业企业实收资本,家具制造业国有控股工业企业实收资本,文教体育用品制造业国有控股工业企业实收资本,普通机械制造业国有控股工业企业实收资本,有色金属冶炼及压延加工业国有控股工业企业实收资本,有色金属矿采选业国有控股工业企业实收资本,服装及其他纤维制品制造业国有控股工业企业实收资本,木材加工及竹、藤、棕、草制品业国有控股工业企业实收资本,木材及竹材采运业国有控股工业企业实收资本,橡胶制品业国有控股工业企业实收资本,烟草加工业国有控股工业企业实收资本,煤气生产和供应业国有控股工业企业实收资本,煤炭采选业国有控股工业企业实收资本,电力、蒸汽、热水的生产和供应业国有控股工业企业实收资本,电子及通信设备制造业国有控股工业企业实收资本,电气机械及器材制造业国有控股工业企业实收资本,皮革、毛皮、羽绒及其制品业国有控股工业企业实收资本,石油加工及炼焦业国有控股工业企业实收资本,石油和天然气开采业国有控股工业企业实收资本,纺织业国有控股工业企业实收资本,自来水的生产和供应业国有控股工业企业实收资本,造纸及纸制品业国有控股工业企业实收资本,金属制品业国有控股工业企业实收资本,非金属矿物制造业国有控股工业企业实收资本,非金属矿采选业国有控股工业企业实收资本,食品制造业国有控股工业企业实收资本,食品加工业国有控股工业企业实收资本,饮料制造业国有控股工业企业实收资本,黑色金属冶炼及压延加工业国有控股工业企业实收资本,黑色金属矿采选业国有控股工业企业实收资本
2001年,469.93982,1759.3594,121.78759,0.15449,23.74718,1500.31189,251.50674,397.59724,169.74219,21780.69704,130.78135,15.15653,20.87551,651.88472,564.14878,96.00509,52.88188,75.89598,92.59161,118.12915,335.31826,266.24619,1142.52253,3818.97215,766.35431,428.80629,25.57917,889.92511,1785.25963,542.43674,542.7926,256.31637,163.03067,710.34907,172.20113,158.86943,305.09824,342.00004,2350.2548,110.29064
2002年,489.81369,1868.73363,125.41127,0.21349,19.79917,1590.70865,257.02141,480.16296,157.99964,22268.47715,123.73077,13.79199,19.52876,673.57333,540.43741,99.78331,61.58546,69.94347,90.60431,114.00972,331.35136,280.10232,1499.92556,3962.42174,795.42659,406.81669,20.60643,950.7325,1775.5393,525.88219,564.95421,277.51131,155.10368,718.63151,174.52878,161.13892,272.51439,346.17222,1969.75451,117.68009
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
