,专用设备制造业国有控股工业企业利润总额,交通运输设备制造业国有控股工业企业利润总额,仪器仪表及文化办公用机械制造业国有控股工业企业利润总额,其他矿采选业国有控股工业企业利润总额,其它制造业国有控股工业企业利润总额,化学原料及化学制品制造业国有控股工业企业利润总额,化学纤维制造业国有控股工业企业利润总额,医药制造业国有控股工业企业利润总额,印刷业、记录媒介的复制国有控股工业企业利润总额,国有控股工业企业利润总额,塑料制品业国有控股工业企业利润总额,家具制造业国有控股工业企业利润总额,文教体育用品制造业国有控股工业企业利润总额,普通机械制造业国有控股工业企业利润总额,有色金属冶炼及压延加工业国有控股工业企业利润总额,有色金属矿采选业国有控股工业企业利润总额,服装及其他纤维制品制造业国有控股工业企业利润总额,木材加工及竹、藤、棕、草制品业国有控股工业企业利润总额,木材及竹材采运业国有控股工业企业利润总额,橡胶制品业国有控股工业企业利润总额,烟草加工业国有控股工业企业利润总额,煤气生产和供应业国有控股工业企业利润总额,煤炭采选业国有控股工业企业利润总额,电力、蒸汽、热水的生产和供应业国有控股工业企业利润总额,电子及通信设备制造业国有控股工业企业利润总额,电气机械及器材制造业国有控股工业企业利润总额,皮革、毛皮、羽绒及其制品业国有控股工业企业利润总额,石油加工及炼焦业国有控股工业企业利润总额,石油和天然气开采业国有控股工业企业利润总额,纺织业国有控股工业企业利润总额,自来水的生产和供应业国有控股工业企业利润总额,造纸及纸制品业国有控股工业企业利润总额,金属制品业国有控股工业企业利润总额,非金属矿物制造业国有控股工业企业利润总额,非金属矿采选业国有控股工业企业利润总额,食品制造业国有控股工业企业利润总额,食品加工业国有控股工业企业利润总额,饮料制造业国有控股工业企业利润总额,黑色金属冶炼及压延加工业国有控股工业企业利润总额,黑色金属矿采选业国有控股工业企业利润总额
2001年,-0.25929,196.17766,4.66026,0.00031,0.9877,11.73264,3.17438,73.89161,18.97233,2388.56,10.38788,0.14398,2.04011,11.40297,40.23842,9.4265,-0.35704,1.44348,1.23577,0.99326,175.99538,-1.43353,29.43472,465.05193,131.41266,21.21569,0.30362,-20.36994,927.53725,2.76267,3.59233,12.57083,5.67078,5.61356,1.9195,14.38993,13.73116,65.66063,153.84467,2.12906
2002年,7.12925,321.92216,3.55576,-0.00167,1.33312,43.3212,7.38469,79.08737,18.14208,2632.94,9.33476,0.15152,2.2717,37.43738,38.66372,8.6134,0.8563,0.68475,2.05064,0.39163,211.33447,-2.69946,58.34704,426.45675,111.77666,15.78256,-2.08222,31.02201,854.04994,11.48402,-2.29509,19.12441,4.19004,7.63565,1.298,19.15772,8.33749,66.21993,211.20702,3.00382
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
