,专用设备制造业国有控股工业企业工业销售产值(现价),交通运输设备制造业国有控股工业企业工业销售产值(现价),仪器仪表及文化办公用机械制造业国有控股工业企业工业销售产值(现价),其他矿采选业国有控股工业企业工业销售产值(现价),其它制造业国有控股工业企业工业销售产值(现价),化学原料及化学制品制造业国有控股工业企业工业销售产值(现价),化学纤维制造业国有控股工业企业工业销售产值(现价),医药制造业国有控股工业企业工业销售产值(现价),印刷业、记录媒介的复制国有控股工业企业工业销售产值(现价),国有控股工业企业工业销售产值(现价),塑料制品业国有控股工业企业工业销售产值(现价),家具制造业国有控股工业企业工业销售产值(现价),文教体育用品制造业国有控股工业企业工业销售产值(现价),普通机械制造业国有控股工业企业工业销售产值(现价),有色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),有色金属矿采选业国有控股工业企业工业销售产值(现价),服装及其他纤维制品制造业国有控股工业企业工业销售产值(现价),木材加工及竹、藤、棕、草制品业国有控股工业企业工业销售产值(现价),木材及竹材采运业国有控股工业企业工业销售产值(现价),橡胶制品业国有控股工业企业工业销售产值(现价),烟草加工业国有控股工业企业工业销售产值(现价),煤气生产和供应业国有控股工业企业工业销售产值(现价),煤炭采选业国有控股工业企业工业销售产值(现价),电力、蒸汽、热水的生产和供应业国有控股工业企业工业销售产值(现价),电子及通信设备制造业国有控股工业企业工业销售产值(现价),电气机械及器材制造业国有控股工业企业工业销售产值(现价),皮革、毛皮、羽绒及其制品业国有控股工业企业工业销售产值(现价),石油加工及炼焦业国有控股工业企业工业销售产值(现价),石油和天然气开采业国有控股工业企业工业销售产值(现价),纺织业国有控股工业企业工业销售产值(现价),自来水的生产和供应业国有控股工业企业工业销售产值(现价),造纸及纸制品业国有控股工业企业工业销售产值(现价),金属制品业国有控股工业企业工业销售产值(现价),非金属矿物制造业国有控股工业企业工业销售产值(现价),非金属矿采选业国有控股工业企业工业销售产值(现价),食品制造业国有控股工业企业工业销售产值(现价),食品加工业国有控股工业企业工业销售产值(现价),饮料制造业国有控股工业企业工业销售产值(现价),黑色金属冶炼及压延加工业国有控股工业企业工业销售产值(现价),黑色金属矿采选业国有控股工业企业工业销售产值(现价)
2000年,881.00067,3613.72242,192.89836,0.39288,59.44924,2851.07216,672.67523,836.99816,228.44959,40101.64419,212.63332,22.63091,35.56106,1145.44117,1130.46905,182.30659,132.98561,97.99253,119.72577,272.14095,1426.44667,122.49901,1040.31761,3927.84809,2800.78386,919.41331,52.53794,4008.58457,2938.68027,1627.52951,277.71076,423.98075,304.8218,1095.61577,116.32272,409.00388,1287.21899,845.56431,3505.05508,61.70485
2001年,834.55033,4271.40251,181.99166,0.29048,68.28799,2938.56711,427.78831,868.52182,259.96472,41835.58033,236.40947,22.08028,36.98698,1238.28878,1141.73491,177.57873,144.1186,104.96021,107.06818,298.75023,1663.7107,135.21664,1276.8758,4388.38332,2924.70156,909.13785,84.87231,4110.60046,2544.29381,1413.15033,289.45642,445.3969,319.22948,1021.75583,127.4566,422.42137,1150.95036,838.45624,4119.03213,70.57637
2002年,953.79939,5340.40995,187.82942,0.30914,58.33641,3037.53879,402.17707,922.01784,264.24913,44720.23006,211.81234,21.83021,35.44846,1473.56207,1154.51821,190.05204,115.33154,102.16943,103.33567,313.85619,2014.84822,159.49031,1596.86824,4914.22437,2850.76134,915.48482,47.56951,4159.77434,2512.91933,1337.28304,309.65352,474.84495,309.51541,1040.45963,141.60262,442.78193,1074.93179,847.35639,4354.3424,79.91216
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
