,专用设备制造业国有控股工业企业本年应交增值税,交通运输设备制造业国有控股工业企业本年应交增值税,仪器仪表及文化办公用机械制造业国有控股工业企业本年应交增值税,其他矿采选业国有控股工业企业本年应交增值税,其它制造业国有控股工业企业本年应交增值税,化学原料及化学制品制造业国有控股工业企业本年应交增值税,化学纤维制造业国有控股工业企业本年应交增值税,医药制造业国有控股工业企业本年应交增值税,印刷业、记录媒介的复制国有控股工业企业本年应交增值税,国有控股工业企业本年应交增值税,塑料制品业国有控股工业企业本年应交增值税,家具制造业国有控股工业企业本年应交增值税,文教体育用品制造业国有控股工业企业本年应交增值税,普通机械制造业国有控股工业企业本年应交增值税,有色金属冶炼及压延加工业国有控股工业企业本年应交增值税,有色金属矿采选业国有控股工业企业本年应交增值税,服装及其他纤维制品制造业国有控股工业企业本年应交增值税,木材加工及竹、藤、棕、草制品业国有控股工业企业本年应交增值税,木材及竹材采运业国有控股工业企业本年应交增值税,橡胶制品业国有控股工业企业本年应交增值税,烟草加工业国有控股工业企业本年应交增值税,煤气生产和供应业国有控股工业企业本年应交增值税,煤炭采选业国有控股工业企业本年应交增值税,电力、蒸汽、热水的生产和供应业国有控股工业企业本年应交增值税,电子及通信设备制造业国有控股工业企业本年应交增值税,电气机械及器材制造业国有控股工业企业本年应交增值税,皮革、毛皮、羽绒及其制品业国有控股工业企业本年应交增值税,石油加工及炼焦业国有控股工业企业本年应交增值税,石油和天然气开采业国有控股工业企业本年应交增值税,纺织业国有控股工业企业本年应交增值税,自来水的生产和供应业国有控股工业企业本年应交增值税,造纸及纸制品业国有控股工业企业本年应交增值税,金属制品业国有控股工业企业本年应交增值税,非金属矿物制造业国有控股工业企业本年应交增值税,非金属矿采选业国有控股工业企业本年应交增值税,食品制造业国有控股工业企业本年应交增值税,食品加工业国有控股工业企业本年应交增值税,饮料制造业国有控股工业企业本年应交增值税,黑色金属冶炼及压延加工业国有控股工业企业本年应交增值税,黑色金属矿采选业国有控股工业企业本年应交增值税
2000年,33.07402,149.53842,8.6185,0.01663,1.91062,111.40509,27.14522,60.6592,15.00146,2320.36,7.60413,0.94026,1.92961,55.73644,59.1879,8.58063,3.39953,5.0339,2.5775,10.61964,142.29153,6.47418,86.19887,471.82479,70.01615,40.02841,1.29441,106.48117,292.43339,69.93015,16.78667,23.48039,11.97875,67.73318,9.07609,20.5202,33.47588,61.18808,217.96963,4.00427
2001年,33.09781,172.61602,9.12847,0.00875,2.19607,117.13976,18.08434,64.03033,16.74674,2408.97,9.23793,0.89316,2.15497,56.56502,53.25364,7.20889,3.32602,4.99142,2.0117,12.08446,175.85209,7.61554,109.52967,508.64478,79.72633,38.20048,1.50218,134.56094,235.59082,58.19955,16.99313,24.83108,13.81851,61.54877,9.13637,20.13765,29.75405,59.00832,232.3472,4.73765
2002年,35.84092,217.07283,8.67711,0.01467,1.73263,120.13322,17.07367,66.05265,16.69035,2580.51,8.84169,0.67967,1.68972,64.61999,50.31238,7.55806,2.52158,4.77033,1.47081,11.68887,209.31902,8.35865,126.81618,577.10843,58.73171,37.46124,1.19902,145.80925,218.02255,49.74085,17.155,27.28339,12.90863,62.37838,9.29714,17.60302,24.55897,60.19933,269.7271,5.71168
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
