,专用设备制造业国有控股工业企业法人资本金,交通运输设备制造业国有控股工业企业法人资本金,仪器仪表及文化办公用机械制造业国有控股工业企业法人资本金,其他矿采选业国有控股工业企业法人资本金,其它制造业国有控股工业企业法人资本金,化学原料及化学制品制造业国有控股工业企业法人资本金,化学纤维制造业国有控股工业企业法人资本金,医药制造业国有控股工业企业法人资本金,印刷业、记录媒介的复制国有控股工业企业法人资本金,国有控股工业企业法人资本金,塑料制品业国有控股工业企业法人资本金,家具制造业国有控股工业企业法人资本金,文教体育用品制造业国有控股工业企业法人资本金,普通机械制造业国有控股工业企业法人资本金,有色金属冶炼及压延加工业国有控股工业企业法人资本金,有色金属矿采选业国有控股工业企业法人资本金,服装及其他纤维制品制造业国有控股工业企业法人资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业法人资本金,木材及竹材采运业国有控股工业企业法人资本金,橡胶制品业国有控股工业企业法人资本金,烟草加工业国有控股工业企业法人资本金,煤气生产和供应业国有控股工业企业法人资本金,煤炭采选业国有控股工业企业法人资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业法人资本金,电子及通信设备制造业国有控股工业企业法人资本金,电气机械及器材制造业国有控股工业企业法人资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业法人资本金,石油加工及炼焦业国有控股工业企业法人资本金,石油和天然气开采业国有控股工业企业法人资本金,纺织业国有控股工业企业法人资本金,自来水的生产和供应业国有控股工业企业法人资本金,造纸及纸制品业国有控股工业企业法人资本金,金属制品业国有控股工业企业法人资本金,非金属矿物制造业国有控股工业企业法人资本金,非金属矿采选业国有控股工业企业法人资本金,食品制造业国有控股工业企业法人资本金,食品加工业国有控股工业企业法人资本金,饮料制造业国有控股工业企业法人资本金,黑色金属冶炼及压延加工业国有控股工业企业法人资本金,黑色金属矿采选业国有控股工业企业法人资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,101.18945,487.59581,37.59979,0.0,5.54867,264.91995,63.67961,106.6618,26.00687,4890.77068,30.86432,3.73598,6.19766,172.42111,176.49527,17.708,11.21896,16.60637,2.63641,17.51537,7.649,4.21554,65.64599,1370.97652,224.72454,121.82312,4.84719,406.50517,212.17998,138.95771,40.19849,28.70893,31.04589,155.468,16.40136,35.30781,35.11136,43.0796,284.50749,2.02123
2001年,122.33913,763.11977,46.34478,0.0,7.08195,536.2834,93.80457,119.65374,29.49144,5959.6346,35.87512,4.12093,6.35703,194.81914,173.94441,16.70957,10.322,19.57312,5.66293,25.98926,11.36915,14.97439,150.88436,1411.47155,283.29603,122.32573,4.25422,456.72014,197.76836,118.55696,66.39729,32.3591,42.37813,188.17326,15.612,40.23051,48.32299,58.76256,355.20941,3.85638
2002年,129.45707,745.95397,45.54352,0.0,6.33054,690.31083,90.30183,159.25395,36.44062,7188.82334,31.9989,5.60338,7.13092,210.53536,144.78263,21.22399,13.86561,19.29124,8.1862,37.53853,11.00133,22.39383,233.17233,1653.54956,318.85178,129.47069,5.54788,437.67998,800.6171,122.22927,25.43159,34.25252,36.38947,198.12599,34.8938,43.26515,51.53327,68.11631,421.48077,12.80504
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
