,专用设备制造业国有控股工业企业销售费用,交通运输设备制造业国有控股工业企业销售费用,仪器仪表及文化办公用机械制造业国有控股工业企业销售费用,其他矿采选业国有控股工业企业销售费用,其它制造业国有控股工业企业销售费用,化学原料及化学制品制造业国有控股工业企业销售费用,化学纤维制造业国有控股工业企业销售费用,医药制造业国有控股工业企业销售费用,印刷业、记录媒介的复制国有控股工业企业销售费用,国有控股工业企业销售费用,塑料制品业国有控股工业企业销售费用,家具制造业国有控股工业企业销售费用,文教体育用品制造业国有控股工业企业销售费用,普通机械制造业国有控股工业企业销售费用,有色金属冶炼及压延加工业国有控股工业企业销售费用,有色金属矿采选业国有控股工业企业销售费用,服装及其他纤维制品制造业国有控股工业企业销售费用,木材加工及竹、藤、棕、草制品业国有控股工业企业销售费用,木材及竹材采运业国有控股工业企业销售费用,橡胶制品业国有控股工业企业销售费用,烟草加工业国有控股工业企业销售费用,煤气生产和供应业国有控股工业企业销售费用,煤炭采选业国有控股工业企业销售费用,电力、蒸汽、热水的生产和供应业国有控股工业企业销售费用,电子及通信设备制造业国有控股工业企业销售费用,电气机械及器材制造业国有控股工业企业销售费用,皮革、毛皮、羽绒及其制品业国有控股工业企业销售费用,石油加工及炼焦业国有控股工业企业销售费用,石油和天然气开采业国有控股工业企业销售费用,纺织业国有控股工业企业销售费用,自来水的生产和供应业国有控股工业企业销售费用,造纸及纸制品业国有控股工业企业销售费用,金属制品业国有控股工业企业销售费用,非金属矿物制造业国有控股工业企业销售费用,非金属矿采选业国有控股工业企业销售费用,食品制造业国有控股工业企业销售费用,食品加工业国有控股工业企业销售费用,饮料制造业国有控股工业企业销售费用,黑色金属冶炼及压延加工业国有控股工业企业销售费用,黑色金属矿采选业国有控股工业企业销售费用
2001年,31.75844,118.10194,12.15929,0.01291,2.64949,85.38888,6.72038,126.0234,5.4224,1360.08812,8.21352,1.55557,1.38421,52.84242,18.75672,4.21575,4.83295,4.5671,2.22168,10.55548,64.21347,9.87676,118.37754,30.90288,135.0381,56.66163,3.03696,37.50047,26.84374,25.86002,12.28095,16.03135,17.70589,57.54142,12.63043,35.12698,36.97444,99.56063,58.95385,3.60855
2002年,36.93478,154.66532,12.98032,0.02856,2.51491,89.47218,7.74152,139.12526,5.28294,1467.43832,7.70861,1.44233,1.45156,62.53814,22.03082,4.17558,4.25263,5.10345,2.43768,11.44034,66.42519,10.91333,129.39813,34.32953,139.45473,61.34049,1.72069,39.63826,19.98178,25.68365,14.48648,17.90007,10.94215,55.84245,14.75447,40.07348,38.97622,104.09453,62.73425,2.89222
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
