,专用设备制造业国有控股工业企业集体资本金,交通运输设备制造业国有控股工业企业集体资本金,仪器仪表及文化办公用机械制造业国有控股工业企业集体资本金,其他矿采选业国有控股工业企业集体资本金,其它制造业国有控股工业企业集体资本金,化学原料及化学制品制造业国有控股工业企业集体资本金,化学纤维制造业国有控股工业企业集体资本金,医药制造业国有控股工业企业集体资本金,印刷业、记录媒介的复制国有控股工业企业集体资本金,国有控股工业企业集体资本金,塑料制品业国有控股工业企业集体资本金,家具制造业国有控股工业企业集体资本金,文教体育用品制造业国有控股工业企业集体资本金,普通机械制造业国有控股工业企业集体资本金,有色金属冶炼及压延加工业国有控股工业企业集体资本金,有色金属矿采选业国有控股工业企业集体资本金,服装及其他纤维制品制造业国有控股工业企业集体资本金,木材加工及竹、藤、棕、草制品业国有控股工业企业集体资本金,木材及竹材采运业国有控股工业企业集体资本金,橡胶制品业国有控股工业企业集体资本金,烟草加工业国有控股工业企业集体资本金,煤气生产和供应业国有控股工业企业集体资本金,煤炭采选业国有控股工业企业集体资本金,电力、蒸汽、热水的生产和供应业国有控股工业企业集体资本金,电子及通信设备制造业国有控股工业企业集体资本金,电气机械及器材制造业国有控股工业企业集体资本金,皮革、毛皮、羽绒及其制品业国有控股工业企业集体资本金,石油加工及炼焦业国有控股工业企业集体资本金,石油和天然气开采业国有控股工业企业集体资本金,纺织业国有控股工业企业集体资本金,自来水的生产和供应业国有控股工业企业集体资本金,造纸及纸制品业国有控股工业企业集体资本金,金属制品业国有控股工业企业集体资本金,非金属矿物制造业国有控股工业企业集体资本金,非金属矿采选业国有控股工业企业集体资本金,食品制造业国有控股工业企业集体资本金,食品加工业国有控股工业企业集体资本金,饮料制造业国有控股工业企业集体资本金,黑色金属冶炼及压延加工业国有控股工业企业集体资本金,黑色金属矿采选业国有控股工业企业集体资本金
2001年,6.45561,12.63353,0.84118,,1.99252,10.6171,0.30082,7.54612,2.28035,183.48246,2.51578,0.30773,0.44084,5.99163,2.39366,1.206,1.98309,0.65691,0.04794,1.68037,0.41603,0.55533,4.08212,25.58286,12.55801,12.1259,1.28511,3.55072,5.16384,10.43723,0.58985,1.78504,5.24663,9.75363,1.35407,6.19463,13.92267,3.99153,4.50727,0.36251
2002年,5.15301,13.66801,0.77919,,2.1181,19.12733,0.15961,6.7026,1.73488,179.10793,2.40141,0.3768,0.57565,6.919,4.275,0.77291,5.67769,0.92215,0.07374,1.00066,0.22656,1.02407,8.04754,28.06469,7.52099,5.74754,0.47183,0.80621,0.02283,9.26367,2.92578,2.80095,5.1964,11.61731,0.66278,6.94367,7.61559,3.1005,4.36773,0.24355
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
