,专用设备制造业国有控股工业企业负债合计,交通运输设备制造业国有控股工业企业负债合计,仪器仪表及文化办公用机械制造业国有控股工业企业负债合计,其他矿采选业国有控股工业企业负债合计,其它制造业国有控股工业企业负债合计,化学原料及化学制品制造业国有控股工业企业负债合计,化学纤维制造业国有控股工业企业负债合计,医药制造业国有控股工业企业负债合计,印刷业、记录媒介的复制国有控股工业企业负债合计,国有控股工业企业负债合计,塑料制品业国有控股工业企业负债合计,家具制造业国有控股工业企业负债合计,文教体育用品制造业国有控股工业企业负债合计,普通机械制造业国有控股工业企业负债合计,有色金属冶炼及压延加工业国有控股工业企业负债合计,有色金属矿采选业国有控股工业企业负债合计,服装及其他纤维制品制造业国有控股工业企业负债合计,木材加工及竹、藤、棕、草制品业国有控股工业企业负债合计,木材及竹材采运业国有控股工业企业负债合计,橡胶制品业国有控股工业企业负债合计,烟草加工业国有控股工业企业负债合计,煤气生产和供应业国有控股工业企业负债合计,煤炭采选业国有控股工业企业负债合计,电力、蒸汽、热水的生产和供应业国有控股工业企业负债合计,电子及通信设备制造业国有控股工业企业负债合计,电气机械及器材制造业国有控股工业企业负债合计,皮革、毛皮、羽绒及其制品业国有控股工业企业负债合计,石油加工及炼焦业国有控股工业企业负债合计,石油和天然气开采业国有控股工业企业负债合计,纺织业国有控股工业企业负债合计,自来水的生产和供应业国有控股工业企业负债合计,造纸及纸制品业国有控股工业企业负债合计,金属制品业国有控股工业企业负债合计,非金属矿物制造业国有控股工业企业负债合计,非金属矿采选业国有控股工业企业负债合计,食品制造业国有控股工业企业负债合计,食品加工业国有控股工业企业负债合计,饮料制造业国有控股工业企业负债合计,黑色金属冶炼及压延加工业国有控股工业企业负债合计,黑色金属矿采选业国有控股工业企业负债合计
2001年,1319.02082,4215.71293,354.17778,0.51469,57.6455,3776.57354,590.86391,1054.20324,285.68356,52025.6,303.37613,36.02899,46.85284,1949.31507,1428.42123,265.72899,141.42206,187.60598,263.58147,379.17995,1226.9086,260.37203,2528.42956,11268.32687,2233.58249,1228.13666,92.47065,1968.83753,1530.99782,1845.67963,598.48022,764.87203,457.06384,1840.70363,274.68171,434.01702,1046.87218,935.51706,4232.90165,107.39251
2002年,1382.9856,4610.69919,328.76178,0.50888,56.61352,3704.40004,540.83487,1080.34672,264.68668,52837.08,262.99634,27.31873,45.42158,1956.45374,1470.1753,264.40488,111.12332,170.20306,268.0239,362.20725,1177.56181,305.90395,2524.63408,12295.67541,2137.44069,1195.41456,71.36024,1850.4427,1548.75713,1702.71498,694.75427,794.8857,399.62654,1773.40949,315.02016,442.93615,908.91202,885.16093,4281.35481,122.36165
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
