,专用设备制造业国有控股工业企业应收帐款净额,交通运输设备制造业国有控股工业企业应收帐款净额,仪器仪表及文化办公用机械制造业国有控股工业企业应收帐款净额,其他矿采选业国有控股工业企业应收帐款净额,其它制造业国有控股工业企业应收帐款净额,化学原料及化学制品制造业国有控股工业企业应收帐款净额,化学纤维制造业国有控股工业企业应收帐款净额,医药制造业国有控股工业企业应收帐款净额,印刷业、记录媒介的复制国有控股工业企业应收帐款净额,国有控股工业企业应收帐款净额,塑料制品业国有控股工业企业应收帐款净额,家具制造业国有控股工业企业应收帐款净额,文教体育用品制造业国有控股工业企业应收帐款净额,普通机械制造业国有控股工业企业应收帐款净额,有色金属冶炼及压延加工业国有控股工业企业应收帐款净额,有色金属矿采选业国有控股工业企业应收帐款净额,服装及其他纤维制品制造业国有控股工业企业应收帐款净额,木材加工及竹、藤、棕、草制品业国有控股工业企业应收帐款净额,木材及竹材采运业国有控股工业企业应收帐款净额,橡胶制品业国有控股工业企业应收帐款净额,烟草加工业国有控股工业企业应收帐款净额,煤气生产和供应业国有控股工业企业应收帐款净额,煤炭采选业国有控股工业企业应收帐款净额,电力、蒸汽、热水的生产和供应业国有控股工业企业应收帐款净额,电子及通信设备制造业国有控股工业企业应收帐款净额,电气机械及器材制造业国有控股工业企业应收帐款净额,皮革、毛皮、羽绒及其制品业国有控股工业企业应收帐款净额,石油加工及炼焦业国有控股工业企业应收帐款净额,石油和天然气开采业国有控股工业企业应收帐款净额,纺织业国有控股工业企业应收帐款净额,自来水的生产和供应业国有控股工业企业应收帐款净额,造纸及纸制品业国有控股工业企业应收帐款净额,金属制品业国有控股工业企业应收帐款净额,非金属矿物制造业国有控股工业企业应收帐款净额,非金属矿采选业国有控股工业企业应收帐款净额,食品制造业国有控股工业企业应收帐款净额,食品加工业国有控股工业企业应收帐款净额,饮料制造业国有控股工业企业应收帐款净额,黑色金属冶炼及压延加工业国有控股工业企业应收帐款净额,黑色金属矿采选业国有控股工业企业应收帐款净额
2000年,300.87689,796.55779,70.33419,0.19723,8.70296,552.18643,60.19356,277.8323,47.74824,8396.59392,49.96714,5.26241,14.34569,512.46521,155.6908,25.44187,29.50187,20.41169,31.60664,91.42592,174.0946,38.80242,477.24526,1183.88065,718.05759,358.63306,10.85175,251.90632,194.03766,224.63951,57.08943,117.05556,97.78895,346.85035,61.11761,70.7995,150.85617,141.62693,576.26341,27.84622
2001年,266.96871,749.94211,74.09934,0.12954,7.99411,455.4456,46.06454,269.13205,47.10767,7788.77108,49.52465,5.36454,12.23737,487.34392,148.25752,24.08722,28.96519,17.29811,27.50658,81.52639,211.42277,35.81901,412.69564,1247.83343,733.76782,350.4941,10.63216,170.44485,92.55098,196.25291,62.55741,110.14596,96.03097,302.10575,58.21124,66.44919,117.73437,131.61752,498.42656,26.30747
2002年,258.16298,694.99574,74.24414,0.1349,7.78128,396.32806,39.81728,271.76011,48.51689,7273.96971,44.52311,5.04609,10.68805,481.50646,130.8471,18.95687,19.6057,15.78671,26.20678,68.94306,161.13155,33.89769,371.64763,1307.6793,646.15205,343.40697,8.53064,131.59984,71.08815,182.22388,65.2695,113.90561,84.30945,298.09746,53.07648,65.33786,101.35431,121.34165,423.00981,24.40409
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
