,专用设备制造业国有控股工业企业主营业务收入,交通运输设备制造业国有控股工业企业主营业务收入,仪器仪表及文化办公用机械制造业国有控股工业企业主营业务收入,其他矿采选业国有控股工业企业主营业务收入,其它制造业国有控股工业企业主营业务收入,化学原料及化学制品制造业国有控股工业企业主营业务收入,化学纤维制造业国有控股工业企业主营业务收入,医药制造业国有控股工业企业主营业务收入,印刷业、记录媒介的复制国有控股工业企业主营业务收入,国有控股工业企业主营业务收入,塑料制品业国有控股工业企业主营业务收入,家具制造业国有控股工业企业主营业务收入,文教体育用品制造业国有控股工业企业主营业务收入,普通机械制造业国有控股工业企业主营业务收入,有色金属冶炼及压延加工业国有控股工业企业主营业务收入,有色金属矿采选业国有控股工业企业主营业务收入,服装及其他纤维制品制造业国有控股工业企业主营业务收入,木材加工及竹、藤、棕、草制品业国有控股工业企业主营业务收入,木材及竹材采运业国有控股工业企业主营业务收入,橡胶制品业国有控股工业企业主营业务收入,烟草加工业国有控股工业企业主营业务收入,煤气生产和供应业国有控股工业企业主营业务收入,煤炭采选业国有控股工业企业主营业务收入,电力、蒸汽、热水的生产和供应业国有控股工业企业主营业务收入,电子及通信设备制造业国有控股工业企业主营业务收入,电气机械及器材制造业国有控股工业企业主营业务收入,皮革、毛皮、羽绒及其制品业国有控股工业企业主营业务收入,石油加工及炼焦业国有控股工业企业主营业务收入,石油和天然气开采业国有控股工业企业主营业务收入,纺织业国有控股工业企业主营业务收入,自来水的生产和供应业国有控股工业企业主营业务收入,造纸及纸制品业国有控股工业企业主营业务收入,金属制品业国有控股工业企业主营业务收入,非金属矿物制造业国有控股工业企业主营业务收入,非金属矿采选业国有控股工业企业主营业务收入,食品制造业国有控股工业企业主营业务收入,食品加工业国有控股工业企业主营业务收入,饮料制造业国有控股工业企业主营业务收入,黑色金属冶炼及压延加工业国有控股工业企业主营业务收入,黑色金属矿采选业国有控股工业企业主营业务收入
2000年,857.2475,3573.02706,200.81171,0.37888,60.94511,2753.29924,662.19644,853.83492,228.30103,42203.12,223.07126,22.01704,37.35835,1119.37561,1118.72912,173.14547,135.03538,93.66712,107.78517,244.96224,1406.71846,184.22531,1003.31028,6202.4655,2774.97373,907.31011,44.4354,4181.96381,2835.63489,1606.22696,269.98166,425.05935,299.37708,1056.00385,117.03736,401.03536,1247.48402,827.55465,3677.84051,60.73818
2001年,819.85503,4206.33056,189.65561,0.20355,61.73805,2907.74967,414.80781,922.437,252.52625,44443.52,248.13616,22.92547,38.534,1206.0826,1139.75365,172.51027,141.73379,97.42121,91.46095,271.91743,1736.97995,200.16783,1271.39737,7094.46621,2915.84436,904.80641,70.33624,4195.94567,2537.15225,1409.94832,281.29026,427.19023,312.28978,991.15688,127.28157,400.58785,1120.74897,831.25305,4122.17137,71.07131
2002年,948.4777,5225.62734,198.82549,0.22604,74.49256,3062.10826,396.43343,1015.01187,249.95048,47844.21,223.41999,23.22759,36.87957,1458.99108,1187.89819,185.79624,122.94591,100.5104,91.0488,278.71136,1968.98065,254.65159,1628.03854,8041.38753,2756.0608,903.08143,41.75303,4289.68274,2511.00663,1344.90845,300.0171,462.53692,301.75112,1019.08065,143.0796,425.28115,1056.01798,832.48604,4356.18768,83.84854
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
