,专用设备制造业国有控股工业企业亏损企业单位数,交通运输设备制造业国有控股工业企业亏损企业单位数,仪器仪表及文化办公用机械制造业国有控股工业企业亏损企业单位数,其他矿采选业国有控股工业企业亏损企业单位数,其它制造业国有控股工业企业亏损企业单位数,化学原料及化学制品制造业国有控股工业企业亏损企业单位数,化学纤维制造业国有控股工业企业亏损企业单位数,医药制造业国有控股工业企业亏损企业单位数,印刷业、记录媒介的复制国有控股工业企业亏损企业单位数,国有控股工业企业亏损企业单位数,塑料制品业国有控股工业企业亏损企业单位数,家具制造业国有控股工业企业亏损企业单位数,文教体育用品制造业国有控股工业企业亏损企业单位数,普通机械制造业国有控股工业企业亏损企业单位数,有色金属冶炼及压延加工业国有控股工业企业亏损企业单位数,有色金属矿采选业国有控股工业企业亏损企业单位数,服装及其他纤维制品制造业国有控股工业企业亏损企业单位数,木材加工及竹、藤、棕、草制品业国有控股工业企业亏损企业单位数,木材及竹材采运业国有控股工业企业亏损企业单位数,橡胶制品业国有控股工业企业亏损企业单位数,烟草加工业国有控股工业企业亏损企业单位数,煤气生产和供应业国有控股工业企业亏损企业单位数,煤炭采选业国有控股工业企业亏损企业单位数,电力、蒸汽、热水的生产和供应业国有控股工业企业亏损企业单位数,电子及通信设备制造业国有控股工业企业亏损企业单位数,电气机械及器材制造业国有控股工业企业亏损企业单位数,皮革、毛皮、羽绒及其制品业国有控股工业企业亏损企业单位数,石油加工及炼焦业国有控股工业企业亏损企业单位数,石油和天然气开采业国有控股工业企业亏损企业单位数,纺织业国有控股工业企业亏损企业单位数,自来水的生产和供应业国有控股工业企业亏损企业单位数,造纸及纸制品业国有控股工业企业亏损企业单位数,金属制品业国有控股工业企业亏损企业单位数,非金属矿物制造业国有控股工业企业亏损企业单位数,非金属矿采选业国有控股工业企业亏损企业单位数,食品制造业国有控股工业企业亏损企业单位数,食品加工业国有控股工业企业亏损企业单位数,饮料制造业国有控股工业企业亏损企业单位数,黑色金属冶炼及压延加工业国有控股工业企业亏损企业单位数,黑色金属矿采选业国有控股工业企业亏损企业单位数
2000年,1069.0,1037.0,245.0,1.0,160.0,1200.0,77.0,411.0,754.0,18223.0,339.0,82.0,90.0,997.0,174.0,155.0,172.0,268.0,197.0,143.0,66.0,123.0,489.0,995.0,388.0,525.0,141.0,75.0,8.0,799.0,825.0,336.0,538.0,1413.0,196.0,739.0,2045.0,569.0,261.0,54.0
2001年,988.0,963.0,269.0,,140.0,1065.0,85.0,398.0,722.0,16858.0,305.0,80.0,65.0,1032.0,199.0,149.0,181.0,191.0,191.0,125.0,84.0,127.0,359.0,1098.0,386.0,529.0,124.0,83.0,5.0,879.0,896.0,281.0,465.0,1246.0,167.0,586.0,1551.0,516.0,225.0,42.0
2002年,837.0,840.0,219.0,1.0,110.0,931.0,78.0,362.0,633.0,14865.0,256.0,57.0,53.0,880.0,176.0,123.0,156.0,154.0,151.0,107.0,55.0,118.0,274.0,1235.0,369.0,460.0,105.0,73.0,5.0,730.0,1026.0,237.0,419.0,1144.0,165.0,424.0,1196.0,430.0,193.0,40.0
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
