,专用设备制造业国有控股工业企业主营业务成本,交通运输设备制造业国有控股工业企业主营业务成本,仪器仪表及文化办公用机械制造业国有控股工业企业主营业务成本,其他矿采选业国有控股工业企业主营业务成本,其它制造业国有控股工业企业主营业务成本,化学原料及化学制品制造业国有控股工业企业主营业务成本,化学纤维制造业国有控股工业企业主营业务成本,医药制造业国有控股工业企业主营业务成本,印刷业、记录媒介的复制国有控股工业企业主营业务成本,国有控股工业企业主营业务成本,塑料制品业国有控股工业企业主营业务成本,家具制造业国有控股工业企业主营业务成本,文教体育用品制造业国有控股工业企业主营业务成本,普通机械制造业国有控股工业企业主营业务成本,有色金属冶炼及压延加工业国有控股工业企业主营业务成本,有色金属矿采选业国有控股工业企业主营业务成本,服装及其他纤维制品制造业国有控股工业企业主营业务成本,木材加工及竹、藤、棕、草制品业国有控股工业企业主营业务成本,木材及竹材采运业国有控股工业企业主营业务成本,橡胶制品业国有控股工业企业主营业务成本,烟草加工业国有控股工业企业主营业务成本,煤气生产和供应业国有控股工业企业主营业务成本,煤炭采选业国有控股工业企业主营业务成本,电力、蒸汽、热水的生产和供应业国有控股工业企业主营业务成本,电子及通信设备制造业国有控股工业企业主营业务成本,电气机械及器材制造业国有控股工业企业主营业务成本,皮革、毛皮、羽绒及其制品业国有控股工业企业主营业务成本,石油加工及炼焦业国有控股工业企业主营业务成本,石油和天然气开采业国有控股工业企业主营业务成本,纺织业国有控股工业企业主营业务成本,自来水的生产和供应业国有控股工业企业主营业务成本,造纸及纸制品业国有控股工业企业主营业务成本,金属制品业国有控股工业企业主营业务成本,非金属矿物制造业国有控股工业企业主营业务成本,非金属矿采选业国有控股工业企业主营业务成本,食品制造业国有控股工业企业主营业务成本,食品加工业国有控股工业企业主营业务成本,饮料制造业国有控股工业企业主营业务成本,黑色金属冶炼及压延加工业国有控股工业企业主营业务成本,黑色金属矿采选业国有控股工业企业主营业务成本
2000年,703.25087,2894.97796,152.45317,0.32009,52.27922,2321.30372,554.65053,548.48421,172.22859,33473.62,186.46594,18.18418,29.57873,888.402,912.77348,123.26377,115.8815,79.17149,65.69638,205.93763,654.64166,180.81658,724.33309,5289.94715,2323.32764,720.45965,38.6001,3810.37637,1335.39089,1388.24031,208.23353,352.35292,249.28749,825.19879,79.17038,315.27217,1110.06765,521.23051,3104.076,42.84758
2001年,670.81376,3425.31775,140.19454,0.15647,53.03489,2504.29586,367.22837,606.54239,191.73478,35522.47,205.26944,18.82334,30.32654,961.45474,967.77434,126.12554,123.63087,82.55102,57.22202,223.91267,726.60983,190.31508,872.83096,6061.68601,2499.22525,717.15618,59.06279,3808.63719,1280.25663,1261.69276,216.20699,352.72862,254.65861,780.55259,88.28407,319.26065,998.54429,522.79963,3524.41053,51.83463
2002年,778.94398,4221.43448,147.26281,0.15003,65.51919,2606.65697,341.9995,667.99901,188.64491,38048.0,182.62894,19.56889,28.4745,1159.11977,1016.35175,135.32387,106.72416,85.98892,52.59525,227.03653,787.9485,240.09074,1108.66152,6996.51501,2329.99014,716.70351,37.26525,3820.80289,1313.51418,1198.949,233.20072,374.08206,251.39323,820.549,98.67961,327.76193,942.39574,519.15854,3636.34894,62.22173
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
