,专用设备制造业国有控股工业企业主营业务税金及附加,交通运输设备制造业国有控股工业企业主营业务税金及附加,仪器仪表及文化办公用机械制造业国有控股工业企业主营业务税金及附加,其他矿采选业国有控股工业企业主营业务税金及附加,其它制造业国有控股工业企业主营业务税金及附加,化学原料及化学制品制造业国有控股工业企业主营业务税金及附加,化学纤维制造业国有控股工业企业主营业务税金及附加,医药制造业国有控股工业企业主营业务税金及附加,印刷业、记录媒介的复制国有控股工业企业主营业务税金及附加,国有控股工业企业主营业务税金及附加,塑料制品业国有控股工业企业主营业务税金及附加,家具制造业国有控股工业企业主营业务税金及附加,文教体育用品制造业国有控股工业企业主营业务税金及附加,普通机械制造业国有控股工业企业主营业务税金及附加,有色金属冶炼及压延加工业国有控股工业企业主营业务税金及附加,有色金属矿采选业国有控股工业企业主营业务税金及附加,服装及其他纤维制品制造业国有控股工业企业主营业务税金及附加,木材加工及竹、藤、棕、草制品业国有控股工业企业主营业务税金及附加,木材及竹材采运业国有控股工业企业主营业务税金及附加,橡胶制品业国有控股工业企业主营业务税金及附加,烟草加工业国有控股工业企业主营业务税金及附加,煤气生产和供应业国有控股工业企业主营业务税金及附加,煤炭采选业国有控股工业企业主营业务税金及附加,电力、蒸汽、热水的生产和供应业国有控股工业企业主营业务税金及附加,电子及通信设备制造业国有控股工业企业主营业务税金及附加,电气机械及器材制造业国有控股工业企业主营业务税金及附加,皮革、毛皮、羽绒及其制品业国有控股工业企业主营业务税金及附加,石油加工及炼焦业国有控股工业企业主营业务税金及附加,石油和天然气开采业国有控股工业企业主营业务税金及附加,纺织业国有控股工业企业主营业务税金及附加,自来水的生产和供应业国有控股工业企业主营业务税金及附加,造纸及纸制品业国有控股工业企业主营业务税金及附加,金属制品业国有控股工业企业主营业务税金及附加,非金属矿物制造业国有控股工业企业主营业务税金及附加,非金属矿采选业国有控股工业企业主营业务税金及附加,食品制造业国有控股工业企业主营业务税金及附加,食品加工业国有控股工业企业主营业务税金及附加,饮料制造业国有控股工业企业主营业务税金及附加,黑色金属冶炼及压延加工业国有控股工业企业主营业务税金及附加,黑色金属矿采选业国有控股工业企业主营业务税金及附加
2000年,4.16306,70.30137,1.2711,0.00317,0.37764,26.19162,7.32838,5.59856,1.52307,1150.28,0.81347,0.11553,0.17844,5.16838,5.85276,1.3746,0.50582,0.92728,6.07447,10.69063,565.12103,0.77949,13.82829,36.69626,5.88362,3.60691,0.17607,175.27235,68.6755,6.22135,3.2975,2.24253,1.1875,8.60983,3.96652,1.9489,5.33286,70.425,25.01655,2.40324
2001年,4.11011,76.19936,1.04735,0.00123,0.33737,27.71584,1.71439,5.80283,1.6894,1250.18,0.82558,0.15184,0.18583,5.07999,5.12992,1.39197,0.48541,0.93554,5.63825,7.34883,644.65329,0.99857,17.42143,44.50431,5.44087,3.39302,0.37596,189.04829,65.81134,5.38478,3.02928,2.15383,1.43894,7.50094,4.14456,1.80607,5.41605,73.37388,25.33958,2.57372
2002年,4.31551,90.64291,0.90975,0.00169,0.4475,24.42314,1.73861,6.13826,1.70315,1401.82,0.85138,0.1402,0.13316,6.28074,5.25912,1.37605,0.34108,0.79461,4.90521,7.02565,765.17501,1.20094,21.33468,46.08549,4.50069,3.44653,0.10968,194.30727,71.60387,4.75973,3.59581,2.12744,1.37667,7.28825,4.58232,1.66923,5.1514,73.85487,29.01403,2.39447
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
