,专用设备制造业国有控股工业企业固定资产原价合计,交通运输设备制造业国有控股工业企业固定资产原价合计,仪器仪表及文化办公用机械制造业国有控股工业企业固定资产原价合计,其他矿采选业国有控股工业企业固定资产原价合计,其它制造业国有控股工业企业固定资产原价合计,化学原料及化学制品制造业国有控股工业企业固定资产原价合计,化学纤维制造业国有控股工业企业固定资产原价合计,医药制造业国有控股工业企业固定资产原价合计,印刷业、记录媒介的复制国有控股工业企业固定资产原价合计,国有控股工业企业固定资产原价合计,塑料制品业国有控股工业企业固定资产原价合计,家具制造业国有控股工业企业固定资产原价合计,文教体育用品制造业国有控股工业企业固定资产原价合计,普通机械制造业国有控股工业企业固定资产原价合计,有色金属冶炼及压延加工业国有控股工业企业固定资产原价合计,有色金属矿采选业国有控股工业企业固定资产原价合计,服装及其他纤维制品制造业国有控股工业企业固定资产原价合计,木材加工及竹、藤、棕、草制品业国有控股工业企业固定资产原价合计,木材及竹材采运业国有控股工业企业固定资产原价合计,橡胶制品业国有控股工业企业固定资产原价合计,烟草加工业国有控股工业企业固定资产原价合计,煤气生产和供应业国有控股工业企业固定资产原价合计,煤炭采选业国有控股工业企业固定资产原价合计,电力、蒸汽、热水的生产和供应业国有控股工业企业固定资产原价合计,电子及通信设备制造业国有控股工业企业固定资产原价合计,电气机械及器材制造业国有控股工业企业固定资产原价合计,皮革、毛皮、羽绒及其制品业国有控股工业企业固定资产原价合计,石油加工及炼焦业国有控股工业企业固定资产原价合计,石油和天然气开采业国有控股工业企业固定资产原价合计,纺织业国有控股工业企业固定资产原价合计,自来水的生产和供应业国有控股工业企业固定资产原价合计,造纸及纸制品业国有控股工业企业固定资产原价合计,金属制品业国有控股工业企业固定资产原价合计,非金属矿物制造业国有控股工业企业固定资产原价合计,非金属矿采选业国有控股工业企业固定资产原价合计,食品制造业国有控股工业企业固定资产原价合计,食品加工业国有控股工业企业固定资产原价合计,饮料制造业国有控股工业企业固定资产原价合计,黑色金属冶炼及压延加工业国有控股工业企业固定资产原价合计,黑色金属矿采选业国有控股工业企业固定资产原价合计
2000年,1020.21453,2851.11556,211.93713,0.76622,38.31054,4224.0263,955.50826,638.46606,332.16286,57294.95762,250.23678,24.21132,31.00388,1344.27424,1394.56235,290.30266,91.2929,174.59671,249.21727,276.3825,887.29944,424.78063,2821.89161,13943.34682,1191.11039,756.94794,54.40317,3097.81355,5182.77065,1604.32036,1173.82578,633.97465,295.1476,1912.30413,357.43595,361.4552,913.66994,768.73414,5952.87192,126.11748
2001年,970.15999,3062.71197,222.55592,0.43809,35.93268,4486.5549,732.63124,678.2301,349.80772,61782.44969,281.07029,23.59339,29.19168,1330.97353,1482.51577,297.14972,86.52241,188.81962,231.65151,286.66833,960.00998,426.77243,3148.21361,16306.24619,1255.38527,773.15077,51.45239,3389.28626,5880.13362,1503.91156,1307.24662,660.54803,304.69922,1781.5557,368.90448,344.09863,816.93402,796.83765,6390.45778,130.20546
2002年,945.09043,3208.80384,213.79968,0.5008,29.5008,4696.5427,709.88207,736.21116,343.61579,64521.94746,255.54206,21.16794,30.34044,1348.23309,1562.00253,290.00806,76.54325,177.04541,233.02122,272.85311,1004.55928,467.4301,3547.65669,17805.64519,1300.12336,730.79703,39.44691,3414.51503,6263.29926,1379.2468,1467.38129,682.28828,286.46315,1770.67849,369.3137,368.20015,710.73447,806.89077,6379.25813,150.52257
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
