,专用设备制造业国有控股工业企业单位数,交通运输设备制造业国有控股工业企业单位数,仪器仪表及文化办公用机械制造业国有控股工业企业单位数,其他矿采选业国有控股工业企业单位数,其它制造业国有控股工业企业单位数,化学原料及化学制品制造业国有控股工业企业单位数,化学纤维制造业国有控股工业企业单位数,医药制造业国有控股工业企业单位数,印刷业、记录媒介的复制国有控股工业企业单位数,国有控股工业企业单位数,塑料制品业国有控股工业企业单位数,家具制造业国有控股工业企业单位数,文教体育用品制造业国有控股工业企业单位数,普通机械制造业国有控股工业企业单位数,有色金属冶炼及压延加工业国有控股工业企业单位数,有色金属矿采选业国有控股工业企业单位数,服装及其他纤维制品制造业国有控股工业企业单位数,木材加工及竹、藤、棕、草制品业国有控股工业企业单位数,木材及竹材采运业国有控股工业企业单位数,橡胶制品业国有控股工业企业单位数,烟草加工业国有控股工业企业单位数,煤气生产和供应业国有控股工业企业单位数,煤炭采选业国有控股工业企业单位数,电力、蒸汽、热水的生产和供应业国有控股工业企业单位数,电子及通信设备制造业国有控股工业企业单位数,电气机械及器材制造业国有控股工业企业单位数,皮革、毛皮、羽绒及其制品业国有控股工业企业单位数,石油加工及炼焦业国有控股工业企业单位数,石油和天然气开采业国有控股工业企业单位数,纺织业国有控股工业企业单位数,自来水的生产和供应业国有控股工业企业单位数,造纸及纸制品业国有控股工业企业单位数,金属制品业国有控股工业企业单位数,非金属矿物制造业国有控股工业企业单位数,非金属矿采选业国有控股工业企业单位数,食品制造业国有控股工业企业单位数,食品加工业国有控股工业企业单位数,饮料制造业国有控股工业企业单位数,黑色金属冶炼及压延加工业国有控股工业企业单位数,黑色金属矿采选业国有控股工业企业单位数
2001年,2239.0,2478.0,675.0,4.0,355.0,3261.0,203.0,1341.0,1890.0,46767.0,821.0,204.0,213.0,2475.0,614.0,517.0,546.0,502.0,419.0,341.0,276.0,252.0,1204.0,4116.0,1182.0,1474.0,267.0,279.0,70.0,2157.0,2205.0,846.0,1239.0,3635.0,548.0,1624.0,4016.0,1376.0,622.0,163.0
2002年,1938.0,2299.0,609.0,4.0,293.0,2810.0,175.0,1180.0,1666.0,41125.0,718.0,165.0,186.0,2180.0,555.0,473.0,452.0,427.0,376.0,286.0,243.0,243.0,1135.0,4058.0,1061.0,1285.0,202.0,260.0,68.0,1812.0,2205.0,708.0,1034.0,3145.0,471.0,1298.0,3149.0,1146.0,550.0,149.0
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
