,专用设备制造业国有控股工业企业固定资产合计,交通运输设备制造业国有控股工业企业固定资产合计,仪器仪表及文化办公用机械制造业国有控股工业企业固定资产合计,其他矿采选业国有控股工业企业固定资产合计,其它制造业国有控股工业企业固定资产合计,化学原料及化学制品制造业国有控股工业企业固定资产合计,化学纤维制造业国有控股工业企业固定资产合计,医药制造业国有控股工业企业固定资产合计,印刷业、记录媒介的复制国有控股工业企业固定资产合计,国有控股工业企业固定资产合计,塑料制品业国有控股工业企业固定资产合计,家具制造业国有控股工业企业固定资产合计,文教体育用品制造业国有控股工业企业固定资产合计,普通机械制造业国有控股工业企业固定资产合计,有色金属冶炼及压延加工业国有控股工业企业固定资产合计,有色金属矿采选业国有控股工业企业固定资产合计,服装及其他纤维制品制造业国有控股工业企业固定资产合计,木材加工及竹、藤、棕、草制品业国有控股工业企业固定资产合计,木材及竹材采运业国有控股工业企业固定资产合计,橡胶制品业国有控股工业企业固定资产合计,烟草加工业国有控股工业企业固定资产合计,煤气生产和供应业国有控股工业企业固定资产合计,煤炭采选业国有控股工业企业固定资产合计,电力、蒸汽、热水的生产和供应业国有控股工业企业固定资产合计,电子及通信设备制造业国有控股工业企业固定资产合计,电气机械及器材制造业国有控股工业企业固定资产合计,皮革、毛皮、羽绒及其制品业国有控股工业企业固定资产合计,石油加工及炼焦业国有控股工业企业固定资产合计,石油和天然气开采业国有控股工业企业固定资产合计,纺织业国有控股工业企业固定资产合计,自来水的生产和供应业国有控股工业企业固定资产合计,造纸及纸制品业国有控股工业企业固定资产合计,金属制品业国有控股工业企业固定资产合计,非金属矿物制造业国有控股工业企业固定资产合计,非金属矿采选业国有控股工业企业固定资产合计,食品制造业国有控股工业企业固定资产合计,食品加工业国有控股工业企业固定资产合计,饮料制造业国有控股工业企业固定资产合计,黑色金属冶炼及压延加工业国有控股工业企业固定资产合计,黑色金属矿采选业国有控股工业企业固定资产合计
2000年,725.77746,2223.39609,151.74787,0.55213,29.43696,3275.72543,693.90183,533.76556,239.56383,43162.67076,205.22237,18.8068,25.51607,980.58199,1073.57017,227.26474,68.06461,148.68097,197.08738,244.05602,686.10151,361.31284,2072.14876,11041.82727,918.04437,566.24846,40.89462,2115.92442,3087.79835,1158.59369,972.94597,578.64424,223.56308,1510.37952,298.87401,298.67616,716.50082,642.97081,4358.38614,94.66843
2001年,656.55957,2338.10766,156.64259,0.26739,26.19089,3310.92293,543.96626,576.47122,243.27199,45007.63746,226.53341,17.3434,22.97771,936.45917,1135.81167,217.84138,61.86007,157.88237,186.30905,220.26218,712.06063,363.73126,2281.83146,12576.20883,885.27121,553.07842,36.54017,2250.08661,3201.18057,1062.60859,1049.87425,604.61575,223.85032,1383.05809,302.49677,286.82205,629.84277,648.24196,4499.85143,97.7016
2002年,627.67246,2353.05694,147.89983,0.32074,22.58243,3322.90263,489.04268,628.97813,232.88912,46071.10409,206.14718,15.13718,22.00176,921.27355,1177.37725,215.98692,54.7905,137.8255,182.98056,216.42364,695.00315,381.36266,2552.42326,13625.23008,897.04455,512.99169,26.91752,2084.3569,3368.77982,963.15498,1176.92721,611.35543,206.23778,1322.87905,303.43643,293.33368,540.88173,653.30312,4438.9162,106.77895
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
