,专用设备制造业国有控股工业企业流动负债合计,交通运输设备制造业国有控股工业企业流动负债合计,仪器仪表及文化办公用机械制造业国有控股工业企业流动负债合计,其他矿采选业国有控股工业企业流动负债合计,其它制造业国有控股工业企业流动负债合计,化学原料及化学制品制造业国有控股工业企业流动负债合计,化学纤维制造业国有控股工业企业流动负债合计,医药制造业国有控股工业企业流动负债合计,印刷业、记录媒介的复制国有控股工业企业流动负债合计,国有控股工业企业流动负债合计,塑料制品业国有控股工业企业流动负债合计,家具制造业国有控股工业企业流动负债合计,文教体育用品制造业国有控股工业企业流动负债合计,普通机械制造业国有控股工业企业流动负债合计,有色金属冶炼及压延加工业国有控股工业企业流动负债合计,有色金属矿采选业国有控股工业企业流动负债合计,服装及其他纤维制品制造业国有控股工业企业流动负债合计,木材加工及竹、藤、棕、草制品业国有控股工业企业流动负债合计,木材及竹材采运业国有控股工业企业流动负债合计,橡胶制品业国有控股工业企业流动负债合计,烟草加工业国有控股工业企业流动负债合计,煤气生产和供应业国有控股工业企业流动负债合计,煤炭采选业国有控股工业企业流动负债合计,电力、蒸汽、热水的生产和供应业国有控股工业企业流动负债合计,电子及通信设备制造业国有控股工业企业流动负债合计,电气机械及器材制造业国有控股工业企业流动负债合计,皮革、毛皮、羽绒及其制品业国有控股工业企业流动负债合计,石油加工及炼焦业国有控股工业企业流动负债合计,石油和天然气开采业国有控股工业企业流动负债合计,纺织业国有控股工业企业流动负债合计,自来水的生产和供应业国有控股工业企业流动负债合计,造纸及纸制品业国有控股工业企业流动负债合计,金属制品业国有控股工业企业流动负债合计,非金属矿物制造业国有控股工业企业流动负债合计,非金属矿采选业国有控股工业企业流动负债合计,食品制造业国有控股工业企业流动负债合计,食品加工业国有控股工业企业流动负债合计,饮料制造业国有控股工业企业流动负债合计,黑色金属冶炼及压延加工业国有控股工业企业流动负债合计,黑色金属矿采选业国有控股工业企业流动负债合计
2000年,1153.94458,3133.63241,266.03888,0.96795,50.64992,2374.99068,408.04898,792.67482,202.48075,32237.40889,207.25959,27.50229,44.09972,1547.99892,868.00272,169.04587,124.54391,121.41153,213.61628,282.49069,762.72393,160.42274,1284.72041,3460.88838,1855.01879,977.57661,82.86343,1225.12849,796.71706,1501.08746,267.54164,481.28413,349.14891,1326.71551,186.32516,359.22676,1031.60023,778.89767,2909.2313,74.99916
2001年,1094.06021,3420.54909,280.96357,0.50969,49.02597,2336.20014,324.8604,825.75265,219.31095,33144.47423,217.84631,28.91994,40.13258,1578.79578,946.15071,167.6339,121.61001,116.36357,207.47045,290.50017,1104.54991,165.10514,1398.98105,3955.21574,1823.31793,1007.47978,78.94916,1245.87102,837.79305,1357.65541,299.17334,476.31047,369.35419,1256.30949,191.82322,353.3909,840.87574,759.80591,2898.35836,92.39711
2002年,1162.14298,3834.50912,263.49936,0.50431,48.83841,2378.34007,331.45588,888.56939,209.16474,34009.59146,194.27663,22.09893,43.88709,1615.69636,988.2672,173.18438,95.84218,105.99291,214.18377,272.37438,1079.93546,196.81976,1599.26402,4187.3483,1748.73162,1015.92396,61.7942,1173.33735,888.72489,1245.91739,341.86524,491.16216,325.19972,1271.13564,196.86496,356.39855,748.70977,750.68293,3008.02942,102.43645
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
