,专用设备制造业国有控股工业企业管理费用,交通运输设备制造业国有控股工业企业管理费用,仪器仪表及文化办公用机械制造业国有控股工业企业管理费用,其他矿采选业国有控股工业企业管理费用,其它制造业国有控股工业企业管理费用,化学原料及化学制品制造业国有控股工业企业管理费用,化学纤维制造业国有控股工业企业管理费用,医药制造业国有控股工业企业管理费用,印刷业、记录媒介的复制国有控股工业企业管理费用,国有控股工业企业管理费用,塑料制品业国有控股工业企业管理费用,家具制造业国有控股工业企业管理费用,文教体育用品制造业国有控股工业企业管理费用,普通机械制造业国有控股工业企业管理费用,有色金属冶炼及压延加工业国有控股工业企业管理费用,有色金属矿采选业国有控股工业企业管理费用,服装及其他纤维制品制造业国有控股工业企业管理费用,木材加工及竹、藤、棕、草制品业国有控股工业企业管理费用,木材及竹材采运业国有控股工业企业管理费用,橡胶制品业国有控股工业企业管理费用,烟草加工业国有控股工业企业管理费用,煤气生产和供应业国有控股工业企业管理费用,煤炭采选业国有控股工业企业管理费用,电力、蒸汽、热水的生产和供应业国有控股工业企业管理费用,电子及通信设备制造业国有控股工业企业管理费用,电气机械及器材制造业国有控股工业企业管理费用,皮革、毛皮、羽绒及其制品业国有控股工业企业管理费用,石油加工及炼焦业国有控股工业企业管理费用,石油和天然气开采业国有控股工业企业管理费用,纺织业国有控股工业企业管理费用,自来水的生产和供应业国有控股工业企业管理费用,造纸及纸制品业国有控股工业企业管理费用,金属制品业国有控股工业企业管理费用,非金属矿物制造业国有控股工业企业管理费用,非金属矿采选业国有控股工业企业管理费用,食品制造业国有控股工业企业管理费用,食品加工业国有控股工业企业管理费用,饮料制造业国有控股工业企业管理费用,黑色金属冶炼及压延加工业国有控股工业企业管理费用,黑色金属矿采选业国有控股工业企业管理费用
2001年,114.26203,416.28072,36.58513,0.03267,5.58972,261.01159,27.00742,110.18298,38.67071,3482.19042,20.11538,2.45469,5.45137,160.73973,88.83928,32.32867,11.48462,9.28001,22.12851,23.39797,103.49902,20.79837,229.86833,251.50199,173.68701,102.12619,5.55627,167.0545,171.18295,104.424,52.46736,34.93088,32.96825,119.75576,21.97129,29.27107,56.55859,64.74504,303.53565,10.87469
2002年,120.21521,480.47575,37.22107,0.03755,4.86336,255.48275,27.0502,114.54717,39.23553,3701.89838,19.70569,2.33176,5.5965,175.94791,83.68367,33.54889,10.47595,8.77116,21.99597,26.1898,128.38311,22.61691,290.73914,291.81688,194.25286,99.41948,4.61134,147.93831,170.2517,95.63421,57.1731,36.1851,31.33158,119.00348,22.06342,28.59457,50.80987,64.48306,321.95001,14.29423
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
