,专用设备制造业私营工业企业主营业务成本,仪器仪表制造业私营工业企业主营业务成本,其他制造业私营工业企业主营业务成本,其他采矿业私营工业企业主营业务成本,农副食品加工业私营工业企业主营业务成本,化学原料和化学制品制造业私营工业企业主营业务成本,化学纤维制造业私营工业企业主营业务成本,医药制造业私营工业企业主营业务成本,印刷和记录媒介复制业私营工业企业主营业务成本,家具制造业私营工业企业主营业务成本,废弃资源综合利用业私营工业企业主营业务成本,开采辅助活动私营工业企业主营业务成本,文教、工美、体育和娱乐用品制造业私营工业企业主营业务成本,有色金属冶炼和压延加工业私营工业企业主营业务成本,有色金属矿采选业私营工业企业主营业务成本,木材加工和木、竹、藤、棕、草制品业私营工业企业主营业务成本,橡胶和塑料制品业私营工业企业主营业务成本,水的生产和供应业私营工业企业主营业务成本,汽车制造业私营工业企业主营业务成本,烟草制品业私营工业企业主营业务成本,煤炭开采和洗选业私营工业企业主营业务成本,燃气生产和供应业私营工业企业主营业务成本,电力、热力生产和供应业私营工业企业主营业务成本,电气机械和器材制造业私营工业企业主营业务成本,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业主营业务成本,石油加工、炼焦和核燃料加工业私营工业企业主营业务成本,石油和天然气开采业私营工业企业主营业务成本,私营工业企业主营业务成本,纺织业私营工业企业主营业务成本,纺织服装、服饰业私营工业企业主营业务成本,计算机、通信和其他电子设备制造业私营工业企业主营业务成本,通用设备制造业私营工业企业主营业务成本,造纸和纸制品业私营工业企业主营业务成本,酒、饮料和精制茶制造业私营工业企业主营业务成本,金属制品、机械和设备修理业私营工业企业主营业务成本,金属制品业私营工业企业主营业务成本,铁路、船舶、航空航天和其他运输设备私营工业企业主营业务成本,非金属矿物制品业私营工业企业主营业务成本,非金属矿采选业私营工业企业主营业务成本,食品制造业私营工业企业主营业务成本,黑色金属冶炼和压延加工业私营工业企业主营业务成本,黑色金属矿采选业私营工业企业主营业务成本
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,8674.50702,2034.96991,719.46765,11.54211,20671.41816,19248.70194,2412.01375,3678.10373,1705.24508,2421.8325,1159.69946,25.58683,3908.55965,10809.82627,1568.58753,5944.08442,9524.60074,69.08891,7388.09906,4.26049,5083.43361,162.85562,441.3195,15811.28465,4135.02509,4593.09316,24.70156,243192.1,14413.63376,6672.83174,4854.37061,12877.83989,4187.75294,2982.84625,190.58613,12599.32195,3814.49301,18653.31441,1931.23021,4501.78283,19317.62295,3962.56681
2013年,11002.43,2417.54,847.12,12.6,25553.37,23783.01,2753.96,4711.71,2439.76,2881.25,1428.26,41.87,5223.42,13887.2,1828.46,7116.37,11595.74,87.55,8025.22,10.93,5282.43,289.01,517.75,18867.86,4797.39,5297.73,24.37,293764.75,16880.26,7932.66,6666.28,15842.32,4538.74,3718.61,206.53,15289.8,4232.97,22591.35,2313.0,5351.38,22880.85,4595.68
2014年,12467.68,2687.45,988.64,14.49,27506.65,26140.17,2756.9,5592.81,2828.8,3217.1,1558.79,51.5,6201.82,14980.84,1830.03,7928.76,12955.19,91.33,9519.32,13.05,4795.17,398.48,588.2,20770.1,5386.72,5240.39,29.65,322482.84,18256.87,8663.03,8443.71,17701.48,4700.29,4107.51,181.46,17204.27,4652.83,25709.27,2541.76,6040.11,23246.93,4493.3
