,专用设备制造业私营工业企业个人资本金,仪器仪表制造业私营工业企业个人资本金,其他制造业私营工业企业个人资本金,其他采矿业私营工业企业个人资本金,农副食品加工业私营工业企业个人资本金,化学原料和化学制品制造业私营工业企业个人资本金,化学纤维制造业私营工业企业个人资本金,医药制造业私营工业企业个人资本金,印刷和记录媒介复制业私营工业企业个人资本金,家具制造业私营工业企业个人资本金,废弃资源综合利用业私营工业企业个人资本金,开采辅助活动私营工业企业个人资本金,文教、工美、体育和娱乐用品制造业私营工业企业个人资本金,有色金属冶炼和压延加工业私营工业企业个人资本金,有色金属矿采选业私营工业企业个人资本金,木材加工和木、竹、藤、棕、草制品业私营工业企业个人资本金,橡胶和塑料制品业私营工业企业个人资本金,水的生产和供应业私营工业企业个人资本金,汽车制造业私营工业企业个人资本金,烟草制品业私营工业企业个人资本金,煤炭开采和洗选业私营工业企业个人资本金,燃气生产和供应业私营工业企业个人资本金,电力、热力生产和供应业私营工业企业个人资本金,电气机械和器材制造业私营工业企业个人资本金,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业个人资本金,石油加工、炼焦和核燃料加工业私营工业企业个人资本金,石油和天然气开采业私营工业企业个人资本金,私营工业企业个人资本金,纺织业私营工业企业个人资本金,纺织服装、服饰业私营工业企业个人资本金,计算机、通信和其他电子设备制造业私营工业企业个人资本金,通用设备制造业私营工业企业个人资本金,造纸和纸制品业私营工业企业个人资本金,酒、饮料和精制茶制造业私营工业企业个人资本金,金属制品、机械和设备修理业私营工业企业个人资本金,金属制品业私营工业企业个人资本金,铁路、船舶、航空航天和其他运输设备私营工业企业个人资本金,非金属矿物制品业私营工业企业个人资本金,非金属矿采选业私营工业企业个人资本金,食品制造业私营工业企业个人资本金,黑色金属冶炼和压延加工业私营工业企业个人资本金,黑色金属矿采选业私营工业企业个人资本金
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,688.08128,200.87911,42.64513,2.19214,1047.01964,1205.45864,159.41723,291.22661,157.42688,252.67742,49.28978,5.04947,213.34519,452.65934,115.47922,357.90427,644.3482,10.69578,439.7373,1.201,438.22221,11.44675,193.82733,1599.83957,216.87108,294.41868,3.06,17560.00471,1136.64098,426.75721,572.5314,1128.31584,372.74343,212.97728,15.56796,904.8552,250.05119,1504.53043,154.59491,292.08416,1198.14077,295.7947
2013年,894.72,222.95,49.8,3.19,1338.62,1562.19,172.25,444.23,199.08,309.86,69.94,6.18,272.39,557.49,146.77,427.57,809.53,16.0,519.55,1.0,504.92,17.79,117.25,1911.81,248.68,658.21,6.06,21366.54,1379.8,495.21,537.57,1366.27,321.63,279.0,16.53,1106.53,316.07,1863.5,182.11,348.08,1336.67,329.51
2014年,1156.99,240.16,55.16,2.2,1473.56,1708.38,193.94,459.06,243.07,314.81,90.45,12.55,328.34,657.35,159.5,535.06,993.16,17.14,598.5,0.0,490.28,21.13,143.96,1997.46,299.53,428.18,6.11,23891.55,1421.23,559.35,609.55,1737.66,359.83,338.39,14.05,1249.33,298.96,2334.33,181.97,390.99,1339.13,430.74
