,专用设备制造业私营工业企业单位数,仪器仪表制造业私营工业企业单位数,其他制造业私营工业企业单位数,其他采矿业私营工业企业单位数,农副食品加工业私营工业企业单位数,化学原料和化学制品制造业私营工业企业单位数,化学纤维制造业私营工业企业单位数,医药制造业私营工业企业单位数,印刷和记录媒介复制业私营工业企业单位数,家具制造业私营工业企业单位数,废弃资源综合利用业私营工业企业单位数,开采辅助活动私营工业企业单位数,文教、工美、体育和娱乐用品制造业私营工业企业单位数,有色金属冶炼和压延加工业私营工业企业单位数,有色金属矿采选业私营工业企业单位数,木材加工和木、竹、藤、棕、草制品业私营工业企业单位数,橡胶和塑料制品业私营工业企业单位数,水的生产和供应业私营工业企业单位数,汽车制造业私营工业企业单位数,烟草制品业私营工业企业单位数,煤炭开采和洗选业私营工业企业单位数,燃气生产和供应业私营工业企业单位数,电力、热力生产和供应业私营工业企业单位数,电气机械和器材制造业私营工业企业单位数,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业单位数,石油加工、炼焦和核燃料加工业私营工业企业单位数,石油和天然气开采业私营工业企业单位数,私营工业企业单位数,纺织业私营工业企业单位数,纺织服装、服饰业私营工业企业单位数,计算机、通信和其他电子设备制造业私营工业企业单位数,通用设备制造业私营工业企业单位数,造纸和纸制品业私营工业企业单位数,酒、饮料和精制茶制造业私营工业企业单位数,金属制品、机械和设备修理业私营工业企业单位数,金属制品业私营工业企业单位数,铁路、船舶、航空航天和其他运输设备私营工业企业单位数,非金属矿物制品业私营工业企业单位数,非金属矿采选业私营工业企业单位数,食品制造业私营工业企业单位数,黑色金属冶炼和压延加工业私营工业企业单位数,黑色金属矿采选业私营工业企业单位数
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012年,8123,1731,818,12,13717,12543,1305,2610,2243,2642,651,39,3607,3999,1038,6192,9064,117,5414,4,4472,196,590,11080,4254,1056,12,189289,13573,7789,4201,12832,4165,2731,162,11166,2511,17084,2136,3830,7087,2493
2013年,9382,1925,924,12,14996,13626,1408,2929,2869,3019,760,44,4397,4275,1061,6527,10029,129,6224,3,4484,240,678,12283,4752,1100,11,208409,14269,8650,5107,14316,4190,3055,152,12297,2642,19186,2373,4210,7304,2571
2014年,9819,1977,972,14,15486,13749,1375,3120,3001,3204,809,47,4750,4284,986,6604,10427,148,6767,3,3865,283,778,12782,4973,1070,12,213789,14131,8929,5515,14801,4025,3280,141,12806,2665,20235,2380,4389,6852,2335
