,专用设备制造业私营工业企业累计折旧,仪器仪表制造业私营工业企业累计折旧,其他制造业私营工业企业累计折旧,其他采矿业私营工业企业累计折旧,农副食品加工业私营工业企业累计折旧,化学原料和化学制品制造业私营工业企业累计折旧,化学纤维制造业私营工业企业累计折旧,医药制造业私营工业企业累计折旧,印刷和记录媒介复制业私营工业企业累计折旧,家具制造业私营工业企业累计折旧,废弃资源综合利用业私营工业企业累计折旧,开采辅助活动私营工业企业累计折旧,文教、工美、体育和娱乐用品制造业私营工业企业累计折旧,有色金属冶炼和压延加工业私营工业企业累计折旧,有色金属矿采选业私营工业企业累计折旧,木材加工和木、竹、藤、棕、草制品业私营工业企业累计折旧,橡胶和塑料制品业私营工业企业累计折旧,水的生产和供应业私营工业企业累计折旧,汽车制造业私营工业企业累计折旧,烟草制品业私营工业企业累计折旧,煤炭开采和洗选业私营工业企业累计折旧,燃气生产和供应业私营工业企业累计折旧,电力、热力生产和供应业私营工业企业累计折旧,电气机械和器材制造业私营工业企业累计折旧,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业累计折旧,石油加工、炼焦和核燃料加工业私营工业企业累计折旧,石油和天然气开采业私营工业企业累计折旧,私营工业企业累计折旧,纺织业私营工业企业累计折旧,纺织服装、服饰业私营工业企业累计折旧,计算机、通信和其他电子设备制造业私营工业企业累计折旧,通用设备制造业私营工业企业累计折旧,造纸和纸制品业私营工业企业累计折旧,酒、饮料和精制茶制造业私营工业企业累计折旧,金属制品、机械和设备修理业私营工业企业累计折旧,金属制品业私营工业企业累计折旧,铁路、船舶、航空航天和其他运输设备私营工业企业累计折旧,非金属矿物制品业私营工业企业累计折旧,非金属矿采选业私营工业企业累计折旧,食品制造业私营工业企业累计折旧,黑色金属冶炼和压延加工业私营工业企业累计折旧,黑色金属矿采选业私营工业企业累计折旧
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,1212.9798,244.43718,84.65537,0.69265,2850.84291,2623.26862,331.71831,506.93044,264.2359,240.25631,96.88925,4.12243,257.48261,826.08867,147.80259,636.91864,1278.10574,18.22353,984.95625,0.2703,591.94538,19.87646,274.70602,1792.08124,388.97655,678.3872,22.54857,31930.96677,1954.49788,687.38071,602.093,1797.28917,522.20597,450.42105,47.67087,1573.06333,473.61372,2929.35527,304.40835,519.36055,3259.5095,430.69848
2013年,1761.22,314.52,91.62,1.05,4209.85,3790.43,403.43,905.78,399.19,395.68,130.9,6.94,441.46,1392.77,209.96,868.39,1871.29,28.67,1234.37,1.4,728.47,39.07,386.82,2314.52,498.13,923.6,13.22,43358.32,2534.08,908.42,840.74,2355.7,715.21,479.87,37.19,2025.25,582.78,3630.97,313.27,774.33,4217.94,579.82
2014年,2131.57,489.84,118.23,1.09,4455.14,4402.59,428.19,1125.26,493.65,461.43,154.98,13.04,588.56,1510.09,224.09,1087.13,1955.35,33.99,1447.2,2.07,734.21,49.2,435.37,2646.32,604.03,833.37,15.33,49895.89,2956.93,1081.86,1089.47,2826.94,729.69,635.41,31.85,2382.3,715.01,4371.23,386.09,911.86,4524.74,811.21
