,专用设备制造业私营工业企业财务费用,仪器仪表制造业私营工业企业财务费用,其他制造业私营工业企业财务费用,其他采矿业私营工业企业财务费用,农副食品加工业私营工业企业财务费用,化学原料和化学制品制造业私营工业企业财务费用,化学纤维制造业私营工业企业财务费用,医药制造业私营工业企业财务费用,印刷和记录媒介复制业私营工业企业财务费用,家具制造业私营工业企业财务费用,废弃资源综合利用业私营工业企业财务费用,开采辅助活动私营工业企业财务费用,文教、工美、体育和娱乐用品制造业私营工业企业财务费用,有色金属冶炼和压延加工业私营工业企业财务费用,有色金属矿采选业私营工业企业财务费用,木材加工和木、竹、藤、棕、草制品业私营工业企业财务费用,橡胶和塑料制品业私营工业企业财务费用,水的生产和供应业私营工业企业财务费用,汽车制造业私营工业企业财务费用,烟草制品业私营工业企业财务费用,煤炭开采和洗选业私营工业企业财务费用,燃气生产和供应业私营工业企业财务费用,电力、热力生产和供应业私营工业企业财务费用,电气机械和器材制造业私营工业企业财务费用,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业财务费用,石油加工、炼焦和核燃料加工业私营工业企业财务费用,石油和天然气开采业私营工业企业财务费用,私营工业企业财务费用,纺织业私营工业企业财务费用,纺织服装、服饰业私营工业企业财务费用,计算机、通信和其他电子设备制造业私营工业企业财务费用,通用设备制造业私营工业企业财务费用,造纸和纸制品业私营工业企业财务费用,酒、饮料和精制茶制造业私营工业企业财务费用,金属制品、机械和设备修理业私营工业企业财务费用,金属制品业私营工业企业财务费用,铁路、船舶、航空航天和其他运输设备私营工业企业财务费用,非金属矿物制品业私营工业企业财务费用,非金属矿采选业私营工业企业财务费用,食品制造业私营工业企业财务费用,黑色金属冶炼和压延加工业私营工业企业财务费用,黑色金属矿采选业私营工业企业财务费用
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,102.90908,24.11391,9.19062,0.09687,187.37833,221.16458,47.2411,38.90822,25.61785,29.36325,7.08543,0.60978,40.1428,114.46573,16.20684,55.22857,110.16035,2.88543,101.97238,0.30424,84.32592,2.61273,28.68864,201.36085,53.27144,86.5917,0.46635,2921.53923,216.73418,70.96531,51.85279,155.04281,56.36745,37.28196,1.31515,151.8842,39.93251,221.02862,17.6966,53.05353,210.68436,45.33677
2013年,122.63,24.8,8.84,0.15,248.51,286.93,44.9,58.49,33.25,36.78,7.57,0.61,55.29,152.25,17.27,62.88,135.59,3.94,101.56,0.44,98.44,4.07,38.91,225.61,56.75,99.09,0.53,3471.55,244.78,79.2,69.21,183.13,57.2,43.85,1.44,181.09,45.09,267.18,25.31,58.85,227.91,61.22
2014年,132.71,28.96,9.34,0.27,258.1,316.82,52.91,69.86,36.38,37.3,10.19,0.58,58.48,143.55,19.53,69.13,145.79,4.23,116.66,0.49,100.61,4.79,49.1,236.87,60.76,119.17,0.37,3717.69,246.83,82.48,74.84,194.68,61.07,52.53,1.87,192.56,51.37,295.86,25.51,65.59,227.28,62.3
