,专用设备制造业私营工业企业亏损企业单位数,仪器仪表制造业私营工业企业亏损企业单位数,其他制造业私营工业企业亏损企业单位数,其他采矿业私营工业企业亏损企业单位数,农副食品加工业私营工业企业亏损企业单位数,化学原料和化学制品制造业私营工业企业亏损企业单位数,化学纤维制造业私营工业企业亏损企业单位数,医药制造业私营工业企业亏损企业单位数,印刷和记录媒介复制业私营工业企业亏损企业单位数,家具制造业私营工业企业亏损企业单位数,废弃资源综合利用业私营工业企业亏损企业单位数,开采辅助活动私营工业企业亏损企业单位数,文教、工美、体育和娱乐用品制造业私营工业企业亏损企业单位数,有色金属冶炼和压延加工业私营工业企业亏损企业单位数,有色金属矿采选业私营工业企业亏损企业单位数,木材加工和木、竹、藤、棕、草制品业私营工业企业亏损企业单位数,橡胶和塑料制品业私营工业企业亏损企业单位数,水的生产和供应业私营工业企业亏损企业单位数,汽车制造业私营工业企业亏损企业单位数,烟草制品业私营工业企业亏损企业单位数,煤炭开采和洗选业私营工业企业亏损企业单位数,燃气生产和供应业私营工业企业亏损企业单位数,电力、热力生产和供应业私营工业企业亏损企业单位数,电气机械和器材制造业私营工业企业亏损企业单位数,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业亏损企业单位数,石油加工、炼焦和核燃料加工业私营工业企业亏损企业单位数,石油和天然气开采业私营工业企业亏损企业单位数,私营工业企业亏损企业单位数,纺织业私营工业企业亏损企业单位数,纺织服装、服饰业私营工业企业亏损企业单位数,计算机、通信和其他电子设备制造业私营工业企业亏损企业单位数,通用设备制造业私营工业企业亏损企业单位数,造纸和纸制品业私营工业企业亏损企业单位数,酒、饮料和精制茶制造业私营工业企业亏损企业单位数,金属制品、机械和设备修理业私营工业企业亏损企业单位数,金属制品业私营工业企业亏损企业单位数,铁路、船舶、航空航天和其他运输设备私营工业企业亏损企业单位数,非金属矿物制品业私营工业企业亏损企业单位数,非金属矿采选业私营工业企业亏损企业单位数,食品制造业私营工业企业亏损企业单位数,黑色金属冶炼和压延加工业私营工业企业亏损企业单位数,黑色金属矿采选业私营工业企业亏损企业单位数
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,515.0,96.0,56.0,,529.0,1034.0,260.0,186.0,164.0,151.0,105.0,3.0,167.0,535.0,106.0,195.0,534.0,13.0,436.0,,711.0,13.0,119.0,922.0,209.0,217.0,2.0,14798.0,1133.0,572.0,431.0,878.0,329.0,90.0,21.0,822.0,241.0,1300.0,80.0,187.0,1068.0,368.0
2013年,601.0,122.0,61.0,1.0,660.0,1073.0,212.0,212.0,218.0,200.0,115.0,2.0,209.0,576.0,125.0,230.0,652.0,19.0,429.0,0.0,904.0,19.0,140.0,1053.0,247.0,216.0,3.0,16251.0,1066.0,623.0,500.0,981.0,316.0,122.0,17.0,922.0,235.0,1449.0,104.0,214.0,1040.0,363.0
2014年,672.0,143.0,63.0,1.0,768.0,1104.0,223.0,253.0,237.0,193.0,141.0,4.0,230.0,568.0,128.0,240.0,720.0,19.0,489.0,0.0,941.0,32.0,160.0,1109.0,236.0,217.0,3.0,17416.0,1079.0,635.0,541.0,1090.0,340.0,146.0,19.0,1001.0,244.0,1605.0,107.0,243.0,999.0,473.0
