,专用设备制造业私营工业企业亏损总额,仪器仪表制造业私营工业企业亏损总额,其他制造业私营工业企业亏损总额,其他采矿业私营工业企业亏损总额,农副食品加工业私营工业企业亏损总额,化学原料和化学制品制造业私营工业企业亏损总额,化学纤维制造业私营工业企业亏损总额,医药制造业私营工业企业亏损总额,印刷和记录媒介复制业私营工业企业亏损总额,家具制造业私营工业企业亏损总额,废弃资源综合利用业私营工业企业亏损总额,开采辅助活动私营工业企业亏损总额,文教、工美、体育和娱乐用品制造业私营工业企业亏损总额,有色金属冶炼和压延加工业私营工业企业亏损总额,有色金属矿采选业私营工业企业亏损总额,木材加工和木、竹、藤、棕、草制品业私营工业企业亏损总额,橡胶和塑料制品业私营工业企业亏损总额,水的生产和供应业私营工业企业亏损总额,汽车制造业私营工业企业亏损总额,烟草制品业私营工业企业亏损总额,煤炭开采和洗选业私营工业企业亏损总额,燃气生产和供应业私营工业企业亏损总额,电力、热力生产和供应业私营工业企业亏损总额,电气机械和器材制造业私营工业企业亏损总额,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业亏损总额,石油加工、炼焦和核燃料加工业私营工业企业亏损总额,石油和天然气开采业私营工业企业亏损总额,私营工业企业亏损总额,纺织业私营工业企业亏损总额,纺织服装、服饰业私营工业企业亏损总额,计算机、通信和其他电子设备制造业私营工业企业亏损总额,通用设备制造业私营工业企业亏损总额,造纸和纸制品业私营工业企业亏损总额,酒、饮料和精制茶制造业私营工业企业亏损总额,金属制品、机械和设备修理业私营工业企业亏损总额,金属制品业私营工业企业亏损总额,铁路、船舶、航空航天和其他运输设备私营工业企业亏损总额,非金属矿物制品业私营工业企业亏损总额,非金属矿采选业私营工业企业亏损总额,食品制造业私营工业企业亏损总额,黑色金属冶炼和压延加工业私营工业企业亏损总额,黑色金属矿采选业私营工业企业亏损总额
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,17.23618,3.17208,0.56142,,17.53418,49.74398,11.07863,5.90573,3.3158,2.83589,4.0346,0.03566,2.78407,30.21642,6.94232,5.66644,9.91897,0.87026,17.09954,,48.77534,0.57748,8.13975,39.4298,3.23365,53.6426,0.07236,621.9725,31.3026,8.63082,13.72228,21.81604,8.22761,4.02402,0.51072,20.26828,14.6273,48.61408,1.85005,5.29255,82.50458,17.75842
2013年,19.74,4.68,0.9,0.01,26.41,70.63,11.49,9.78,4.3,5.07,4.7,0.06,3.51,47.82,8.81,6.42,13.35,1.1,18.44,0.0,58.31,1.46,9.11,41.76,4.61,60.61,0.13,744.33,28.37,9.12,30.31,26.29,8.53,5.59,0.22,26.46,14.0,54.12,3.18,7.98,78.31,18.6
2014年,22.75,3.76,1.0,0.0,47.5,78.91,15.34,16.83,4.39,6.02,4.82,0.2,4.67,36.04,9.16,6.07,18.57,1.8,21.62,0.0,74.99,3.88,10.62,35.8,3.42,84.29,0.35,885.38,34.08,11.1,23.32,30.62,10.76,6.65,1.12,29.01,11.3,78.14,2.96,10.9,88.12,34.51
