,专用设备制造业私营工业企业所有者权益合计,仪器仪表制造业私营工业企业所有者权益合计,其他制造业私营工业企业所有者权益合计,其他采矿业私营工业企业所有者权益合计,农副食品加工业私营工业企业所有者权益合计,化学原料和化学制品制造业私营工业企业所有者权益合计,化学纤维制造业私营工业企业所有者权益合计,医药制造业私营工业企业所有者权益合计,印刷和记录媒介复制业私营工业企业所有者权益合计,家具制造业私营工业企业所有者权益合计,废弃资源综合利用业私营工业企业所有者权益合计,开采辅助活动私营工业企业所有者权益合计,文教、工美、体育和娱乐用品制造业私营工业企业所有者权益合计,有色金属冶炼和压延加工业私营工业企业所有者权益合计,有色金属矿采选业私营工业企业所有者权益合计,木材加工和木、竹、藤、棕、草制品业私营工业企业所有者权益合计,橡胶和塑料制品业私营工业企业所有者权益合计,水的生产和供应业私营工业企业所有者权益合计,汽车制造业私营工业企业所有者权益合计,烟草制品业私营工业企业所有者权益合计,煤炭开采和洗选业私营工业企业所有者权益合计,燃气生产和供应业私营工业企业所有者权益合计,电力、热力生产和供应业私营工业企业所有者权益合计,电气机械和器材制造业私营工业企业所有者权益合计,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业所有者权益合计,石油加工、炼焦和核燃料加工业私营工业企业所有者权益合计,石油和天然气开采业私营工业企业所有者权益合计,私营工业企业所有者权益合计,纺织业私营工业企业所有者权益合计,纺织服装、服饰业私营工业企业所有者权益合计,计算机、通信和其他电子设备制造业私营工业企业所有者权益合计,通用设备制造业私营工业企业所有者权益合计,造纸和纸制品业私营工业企业所有者权益合计,酒、饮料和精制茶制造业私营工业企业所有者权益合计,金属制品、机械和设备修理业私营工业企业所有者权益合计,金属制品业私营工业企业所有者权益合计,铁路、船舶、航空航天和其他运输设备私营工业企业所有者权益合计,非金属矿物制品业私营工业企业所有者权益合计,非金属矿采选业私营工业企业所有者权益合计,食品制造业私营工业企业所有者权益合计,黑色金属冶炼和压延加工业私营工业企业所有者权益合计,黑色金属矿采选业私营工业企业所有者权益合计
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,2932.4338,800.49815,187.49934,4.50669,4581.78704,5378.09203,604.64844,1535.75999,572.80387,750.3965,193.75602,16.14276,853.22625,1963.22239,487.64565,1372.28665,2729.9808,47.15022,2210.44735,1.77278,1909.46831,86.35303,461.9767,5099.14299,939.84123,1076.39297,14.5982,68946.35,3747.29513,1789.08555,2221.86594,4106.92965,1104.801,998.79975,72.6267,3705.85335,1030.61196,6018.76181,543.54536,1542.15033,4048.8239,1203.36828
2013年,3873.34,913.72,218.79,5.68,5899.16,6709.56,686.75,2011.99,761.95,971.38,297.13,23.48,1117.03,3139.95,595.88,1690.52,3387.09,64.19,2405.22,2.99,2141.65,101.78,592.94,6007.79,1092.28,1291.62,11.06,84938.19,4472.65,2179.16,2400.41,5160.31,1293.75,1308.36,72.72,4580.89,1228.34,7315.67,671.17,1729.06,5079.89,1430.87
2014年,4800.23,1049.48,243.17,5.93,7022.96,7879.24,783.44,2471.84,950.85,1114.93,320.48,35.98,1451.77,3586.91,688.26,2063.52,4018.45,71.84,2999.87,4.84,2008.81,131.84,749.0,6902.08,1355.19,1361.36,16.93,99880.35,4985.46,2530.97,2895.78,5989.58,1415.91,1619.91,64.46,6246.78,1487.36,8856.74,798.29,2065.74,5318.66,1515.49
