,专用设备制造业私营工业企业本年应交增值税,仪器仪表制造业私营工业企业本年应交增值税,其他制造业私营工业企业本年应交增值税,其他采矿业私营工业企业本年应交增值税,农副食品加工业私营工业企业本年应交增值税,化学原料和化学制品制造业私营工业企业本年应交增值税,化学纤维制造业私营工业企业本年应交增值税,医药制造业私营工业企业本年应交增值税,印刷和记录媒介复制业私营工业企业本年应交增值税,家具制造业私营工业企业本年应交增值税,废弃资源综合利用业私营工业企业本年应交增值税,开采辅助活动私营工业企业本年应交增值税,文教、工美、体育和娱乐用品制造业私营工业企业本年应交增值税,有色金属冶炼和压延加工业私营工业企业本年应交增值税,有色金属矿采选业私营工业企业本年应交增值税,木材加工和木、竹、藤、棕、草制品业私营工业企业本年应交增值税,橡胶和塑料制品业私营工业企业本年应交增值税,水的生产和供应业私营工业企业本年应交增值税,汽车制造业私营工业企业本年应交增值税,烟草制品业私营工业企业本年应交增值税,煤炭开采和洗选业私营工业企业本年应交增值税,燃气生产和供应业私营工业企业本年应交增值税,电力、热力生产和供应业私营工业企业本年应交增值税,电气机械和器材制造业私营工业企业本年应交增值税,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业本年应交增值税,石油加工、炼焦和核燃料加工业私营工业企业本年应交增值税,石油和天然气开采业私营工业企业本年应交增值税,私营工业企业本年应交增值税,纺织业私营工业企业本年应交增值税,纺织服装、服饰业私营工业企业本年应交增值税,计算机、通信和其他电子设备制造业私营工业企业本年应交增值税,通用设备制造业私营工业企业本年应交增值税,造纸和纸制品业私营工业企业本年应交增值税,酒、饮料和精制茶制造业私营工业企业本年应交增值税,金属制品、机械和设备修理业私营工业企业本年应交增值税,金属制品业私营工业企业本年应交增值税,铁路、船舶、航空航天和其他运输设备私营工业企业本年应交增值税,非金属矿物制品业私营工业企业本年应交增值税,非金属矿采选业私营工业企业本年应交增值税,食品制造业私营工业企业本年应交增值税,黑色金属冶炼和压延加工业私营工业企业本年应交增值税,黑色金属矿采选业私营工业企业本年应交增值税
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,313.58975,86.75683,27.10226,0.6306,516.382,648.48072,61.26745,169.73198,57.23767,86.23562,37.73376,0.75579,117.55208,311.63255,75.86096,205.36094,289.18088,2.74423,223.44126,0.11978,375.9757,4.34836,20.25023,496.87773,136.20698,118.72107,1.32972,8239.81,441.58139,219.80961,164.79726,459.86536,136.20782,111.84433,8.43121,400.78332,134.97844,780.13028,89.86499,160.66047,495.25088,250.10135
2013年,400.92,105.05,32.44,0.71,658.9,796.06,73.31,235.44,80.08,102.31,55.18,1.09,166.23,398.57,76.95,246.08,369.09,3.49,268.55,0.3,341.66,7.62,22.69,616.8,159.89,115.48,1.1,9961.18,521.15,267.28,208.01,578.18,148.99,142.74,8.17,481.19,149.1,929.82,109.75,184.37,588.42,308.01
2014年,441.3,113.15,32.1,0.65,647.55,855.67,77.39,271.1,94.69,107.92,66.42,1.7,188.55,413.28,75.5,263.34,374.21,3.06,299.27,0.41,291.46,8.55,24.74,675.02,175.97,98.96,1.47,10361.76,546.1,284.66,250.11,622.36,141.55,145.71,7.52,532.89,157.73,941.59,111.42,195.18,545.74,275.77
