,专用设备制造业私营工业企业集体资本金,仪器仪表制造业私营工业企业集体资本金,其他制造业私营工业企业集体资本金,其他采矿业私营工业企业集体资本金,农副食品加工业私营工业企业集体资本金,化学原料和化学制品制造业私营工业企业集体资本金,化学纤维制造业私营工业企业集体资本金,医药制造业私营工业企业集体资本金,印刷和记录媒介复制业私营工业企业集体资本金,家具制造业私营工业企业集体资本金,废弃资源综合利用业私营工业企业集体资本金,开采辅助活动私营工业企业集体资本金,文教、工美、体育和娱乐用品制造业私营工业企业集体资本金,有色金属冶炼和压延加工业私营工业企业集体资本金,有色金属矿采选业私营工业企业集体资本金,木材加工和木、竹、藤、棕、草制品业私营工业企业集体资本金,橡胶和塑料制品业私营工业企业集体资本金,水的生产和供应业私营工业企业集体资本金,汽车制造业私营工业企业集体资本金,烟草制品业私营工业企业集体资本金,煤炭开采和洗选业私营工业企业集体资本金,燃气生产和供应业私营工业企业集体资本金,电力、热力生产和供应业私营工业企业集体资本金,电气机械和器材制造业私营工业企业集体资本金,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业集体资本金,石油加工、炼焦和核燃料加工业私营工业企业集体资本金,石油和天然气开采业私营工业企业集体资本金,私营工业企业集体资本金,纺织业私营工业企业集体资本金,纺织服装、服饰业私营工业企业集体资本金,计算机、通信和其他电子设备制造业私营工业企业集体资本金,通用设备制造业私营工业企业集体资本金,造纸和纸制品业私营工业企业集体资本金,酒、饮料和精制茶制造业私营工业企业集体资本金,金属制品、机械和设备修理业私营工业企业集体资本金,金属制品业私营工业企业集体资本金,铁路、船舶、航空航天和其他运输设备私营工业企业集体资本金,非金属矿物制品业私营工业企业集体资本金,非金属矿采选业私营工业企业集体资本金,食品制造业私营工业企业集体资本金,黑色金属冶炼和压延加工业私营工业企业集体资本金,黑色金属矿采选业私营工业企业集体资本金
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,5.35274,1.11131,1.10582,,15.97643,20.22609,11.17526,3.89835,1.40277,2.63417,1.085,0.06,2.43055,7.33465,4.64187,6.43105,315.45719,0.2967,8.9784,0.4,15.18343,1.06284,7.65488,22.68899,1.65557,5.50225,,574.33058,13.59959,2.77086,12.90474,10.74639,5.80504,7.20759,,7.92392,3.60655,23.21566,3.47638,5.54091,11.34236,2.44428
2013年,12.81,1.31,0.69,0.0,35.27,34.58,1.07,11.75,1.97,2.96,1.18,0.06,3.23,18.84,3.25,3.0,11.53,6.86,10.26,0.4,15.77,1.87,13.28,25.38,5.75,10.6,0.0,413.74,13.19,5.83,9.01,28.39,14.38,8.05,0.0,24.93,6.06,34.39,4.76,9.82,15.33,5.91
2014年,26.58,6.79,0.88,0.0,30.67,49.8,6.03,9.83,1.83,3.19,2.7,0.06,7.52,20.01,10.52,5.91,12.53,3.92,12.38,1.4,9.7,2.2,7.2,33.09,1.83,6.25,0.0,482.84,12.7,6.54,15.29,26.93,18.06,8.22,0.0,19.29,4.41,52.47,4.01,19.15,19.89,3.06
