,专用设备制造业私营工业企业利息支出,仪器仪表制造业私营工业企业利息支出,其他制造业私营工业企业利息支出,其他采矿业私营工业企业利息支出,农副食品加工业私营工业企业利息支出,化学原料和化学制品制造业私营工业企业利息支出,化学纤维制造业私营工业企业利息支出,医药制造业私营工业企业利息支出,印刷和记录媒介复制业私营工业企业利息支出,家具制造业私营工业企业利息支出,废弃资源综合利用业私营工业企业利息支出,开采辅助活动私营工业企业利息支出,文教、工美、体育和娱乐用品制造业私营工业企业利息支出,有色金属冶炼和压延加工业私营工业企业利息支出,有色金属矿采选业私营工业企业利息支出,木材加工和木、竹、藤、棕、草制品业私营工业企业利息支出,橡胶和塑料制品业私营工业企业利息支出,水的生产和供应业私营工业企业利息支出,汽车制造业私营工业企业利息支出,烟草制品业私营工业企业利息支出,煤炭开采和洗选业私营工业企业利息支出,燃气生产和供应业私营工业企业利息支出,电力、热力生产和供应业私营工业企业利息支出,电气机械和器材制造业私营工业企业利息支出,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业利息支出,石油加工、炼焦和核燃料加工业私营工业企业利息支出,石油和天然气开采业私营工业企业利息支出,私营工业企业利息支出,纺织业私营工业企业利息支出,纺织服装、服饰业私营工业企业利息支出,计算机、通信和其他电子设备制造业私营工业企业利息支出,通用设备制造业私营工业企业利息支出,造纸和纸制品业私营工业企业利息支出,酒、饮料和精制茶制造业私营工业企业利息支出,金属制品、机械和设备修理业私营工业企业利息支出,金属制品业私营工业企业利息支出,铁路、船舶、航空航天和其他运输设备私营工业企业利息支出,非金属矿物制品业私营工业企业利息支出,非金属矿采选业私营工业企业利息支出,食品制造业私营工业企业利息支出,黑色金属冶炼和压延加工业私营工业企业利息支出,黑色金属矿采选业私营工业企业利息支出
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,88.06891,22.29123,8.10082,0.08835,154.55282,196.68425,48.0799,38.71992,23.45756,25.75264,6.63623,0.52781,33.84193,105.35984,13.59696,42.98379,95.50697,2.16144,98.27983,0.29176,68.27865,2.22952,25.36449,183.70713,48.23333,76.25312,0.43467,2578.7559,193.97003,60.47919,46.82896,134.8549,49.31132,30.31946,1.27555,132.56468,39.73011,187.58192,13.339,44.16662,195.17782,39.67247
2013年,100.43,21.96,7.2,0.14,203.2,253.07,47.53,50.55,27.93,29.84,7.28,0.58,45.69,130.53,14.92,48.25,114.31,2.75,86.72,0.51,80.2,3.1,32.71,197.57,49.24,86.48,0.22,2965.57,213.16,64.72,58.36,154.07,52.11,38.08,1.12,151.74,41.79,217.67,17.7,49.21,210.53,52.38
2014年,112.16,25.86,7.98,0.15,211.69,276.3,51.82,60.47,30.27,32.74,9.2,0.47,51.82,120.2,16.71,51.2,123.41,2.62,100.18,0.5,76.55,4.21,42.05,209.07,54.46,104.25,0.37,3178.3,217.43,68.33,70.91,163.17,53.83,42.97,1.71,161.53,46.98,244.11,18.26,54.26,205.58,52.5
