,专用设备制造业私营工业企业应付帐款,仪器仪表制造业私营工业企业应付帐款,其他制造业私营工业企业应付帐款,其他采矿业私营工业企业应付帐款,农副食品加工业私营工业企业应付帐款,化学原料和化学制品制造业私营工业企业应付帐款,化学纤维制造业私营工业企业应付帐款,医药制造业私营工业企业应付帐款,印刷和记录媒介复制业私营工业企业应付帐款,家具制造业私营工业企业应付帐款,废弃资源综合利用业私营工业企业应付帐款,开采辅助活动私营工业企业应付帐款,文教、工美、体育和娱乐用品制造业私营工业企业应付帐款,有色金属冶炼和压延加工业私营工业企业应付帐款,有色金属矿采选业私营工业企业应付帐款,木材加工和木、竹、藤、棕、草制品业私营工业企业应付帐款,橡胶和塑料制品业私营工业企业应付帐款,水的生产和供应业私营工业企业应付帐款,汽车制造业私营工业企业应付帐款,烟草制品业私营工业企业应付帐款,煤炭开采和洗选业私营工业企业应付帐款,燃气生产和供应业私营工业企业应付帐款,电力、热力生产和供应业私营工业企业应付帐款,电气机械和器材制造业私营工业企业应付帐款,皮革、毛皮、羽毛及其制品和制鞋业私营工业企业应付帐款,石油加工、炼焦和核燃料加工业私营工业企业应付帐款,石油和天然气开采业私营工业企业应付帐款,私营工业企业应付帐款,纺织业私营工业企业应付帐款,纺织服装、服饰业私营工业企业应付帐款,计算机、通信和其他电子设备制造业私营工业企业应付帐款,通用设备制造业私营工业企业应付帐款,造纸和纸制品业私营工业企业应付帐款,酒、饮料和精制茶制造业私营工业企业应付帐款,金属制品、机械和设备修理业私营工业企业应付帐款,金属制品业私营工业企业应付帐款,铁路、船舶、航空航天和其他运输设备私营工业企业应付帐款,非金属矿物制品业私营工业企业应付帐款,非金属矿采选业私营工业企业应付帐款,食品制造业私营工业企业应付帐款,黑色金属冶炼和压延加工业私营工业企业应付帐款,黑色金属矿采选业私营工业企业应付帐款
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,630.98186,187.76793,32.18988,0.28871,538.48065,986.64127,114.35355,198.29698,134.52152,143.95871,71.99131,3.99387,222.41458,557.16373,63.6344,145.3445,479.90195,10.15301,664.96362,4.28059,358.61273,10.33542,115.83844,1411.4181,189.38933,485.48262,0.28597,14823.48799,644.35831,425.34443,610.72013,973.28683,235.1351,117.3947,11.22196,675.48209,325.8558,1193.77361,55.75274,185.95228,1392.92277,213.60201
2013年,821.39,200.64,41.81,0.19,655.72,1248.27,134.05,260.34,174.94,174.8,88.17,11.96,402.65,636.39,82.81,166.12,616.47,9.18,726.33,10.31,459.24,16.47,152.84,1589.98,238.75,526.19,4.85,18168.08,743.42,481.6,945.52,1114.39,272.61,158.48,8.89,798.37,363.12,1588.86,75.51,213.87,1689.91,262.67
2014年,846.09,223.39,50.13,0.14,753.85,1472.39,136.89,312.93,199.0,190.38,93.13,16.65,545.81,791.85,81.84,192.14,709.47,8.87,910.92,7.24,518.05,22.22,177.18,1725.61,241.62,584.91,9.09,20541.78,812.42,538.27,1228.97,1205.59,294.27,178.24,11.87,906.86,404.54,1850.23,76.27,257.74,1652.11,302.6
